Peer28
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 78.36707, Blk0
Blk1, 0, 80.84560, Blk0
Blk1, 0, 267.86579, Blk0
Blk1, 0, 678.74991, Blk0
Blk1, 0, 714.43140, Blk0
Blk2, 0, 89.72083, Blk0
Blk2, 0, 232.80075, Blk0
Blk2, 0, 690.10366, Blk0
Blk2, 0, 794.58937, Blk0
Blk3, 0, 83.37776, Blk0
Blk3, 0, 841.79472, Blk0
Blk4, 0, 72.60933, Blk0
Blk4, 0, 104.29764, Blk0
Blk4, 0, 155.33062, Blk0
Blk4, 0, 632.07571, Blk0
Blk4, 0, 717.11923, Blk0
Blk5, 0, 79.83522, Blk0
Blk5, 0, 219.55051, Blk0
Blk5, 0, 692.65682, Blk0
Blk6, 0, 173.72803, Blk0
Blk6, 0, 195.00151, Blk0
Blk6, 0, 256.44931, Blk0
Blk6, 0, 733.19441, Blk0
Blk6, 0, 818.23793, Blk0
Blk7, 1, 85.24683, Blk1
Blk7, 1, 274.74555, Blk1
Blk7, 1, 685.62967, Blk1
Blk7, -1, 721.31116, NO_PARENT
Blk8, 0, 26.12809, Blk0
Blk8, 0, 235.27389, Blk0
Blk8, 0, 694.76723, Blk0
Blk9, 0, 79.00188, Blk0
Blk9, 0, 180.53450, Blk0
Blk9, 0, 657.27959, Blk0
Blk9, 0, 742.32311, Blk0
Blk10, 0, 102.39115, Blk0
Blk10, 0, 146.18373, Blk0
Blk10, 0, 702.77399, Blk0
Blk10, 0, 803.65217, Blk0
Blk11, 0, 107.11069, Blk0
Blk11, 0, 128.38417, Blk0
Blk11, 0, 189.83198, Blk0
Blk11, 0, 666.57707, Blk0
Blk11, 0, 751.62059, Blk0
Blk12, 1, 179.19832, Blk6
Blk12, 1, 200.47180, Blk6
Blk12, 1, 261.91961, Blk6
Blk12, 1, 738.66470, Blk6
Blk12, -1, 823.70822, NO_PARENT
Blk13, 1, 94.71418, Blk3
Blk13, -1, 853.13114, NO_PARENT
Blk14, 0, 71.37069, Blk0
Blk14, 0, 183.72478, Blk0
Blk14, 0, 556.92796, Blk0
Blk14, 0, 745.51340, Blk0
Blk15, 0, 75.60361, Blk0
Blk15, 0, 282.47503, Blk0
Blk15, 0, 697.61993, Blk0
Blk16, 1, 40.89981, Blk8
Blk16, 1, 250.04561, Blk8
Blk16, -1, 709.53895, NO_PARENT
Blk17, 0, 129.46464, Blk0
Blk17, 0, 230.99725, Blk0
Blk17, 0, 707.74235, Blk0
Blk17, 0, 792.78587, Blk0
Blk18, 2, 190.99054, Blk12
Blk18, 2, 212.26402, Blk12
Blk18, 2, 273.71182, Blk12
Blk18, 2, 750.45692, Blk12
Blk18, -1, 835.50044, NO_PARENT
Blk19, 2, 42.97040, Blk16
Blk19, 2, 252.11619, Blk16
Blk19, -1, 711.60954, NO_PARENT
Blk20, 0, 58.67969, Blk0
Blk20, 0, 92.63077, Blk0
Blk20, 0, 198.15208, Blk0
Blk20, 0, 659.06252, Blk0
Blk20, 0, 759.94070, Blk0
Blk21, 0, 55.52943, Blk0
Blk21, 0, 198.60935, Blk0
Blk21, 0, 655.91226, Blk0
Blk21, 0, 760.39797, Blk0
Blk22, 1, 120.79276, Blk10
Blk22, 1, 164.58533, Blk10
Blk22, 1, 721.17559, Blk10
Blk22, -1, 822.05377, NO_PARENT
Blk23, 2, 108.82006, Blk13
Blk23, -1, 867.23702, NO_PARENT
Blk24, 0, 60.07285, Blk0
Blk24, 0, 199.54524, Blk0
Blk24, 0, 660.45568, Blk0
Blk24, 0, 761.33386, Blk0
Blk25, 1, 61.81688, Blk20
Blk25, 1, 95.76797, Blk20
Blk25, 1, 201.28928, Blk20
Blk25, 1, 662.19972, Blk20
Blk25, -1, 763.07790, NO_PARENT
Blk26, 3, 195.50786, Blk18
Blk26, 3, 278.22915, Blk18
Blk26, 3, 754.97425, Blk18
Blk26, -1, 840.01776, NO_PARENT
Blk27, 0, 110.01739, Blk0
Blk27, 0, 141.70570, Blk0
Blk27, 0, 192.73867, Blk0
Blk27, 0, 669.48377, Blk0
Blk27, 0, 754.52729, Blk0
Blk28, 0, 682.56102, Blk0
Blk28, 0, 784.09364, Blk0
Blk28, 0, 1260.83873, Blk0
Blk28, 0, 1345.88225, Blk0
Blk29, 1, 59.16551, Blk21
Blk29, 1, 202.24544, Blk21
Blk29, 1, 659.54834, Blk21
Blk29, -1, 764.03405, NO_PARENT
Blk30, 0, 98.27524, Blk0
Blk30, 0, 130.51515, Blk0
Blk30, 0, 269.98754, Blk0
Blk30, 0, 711.09684, Blk0
Blk31, 0, 166.96922, Blk0
Blk31, 0, 169.44775, Blk0
Blk31, 0, 356.46793, Blk0
Blk31, 0, 767.35205, Blk0
Blk31, 0, 832.53462, Blk0
Blk32, 0, 84.21871, Blk0
Blk32, 0, 101.92477, Blk0
Blk32, 0, 291.42348, Blk0
Blk32, 0, 752.85785, Blk0
Blk33, 0, 112.66692, Blk0
Blk33, 0, 130.37297, Blk0
Blk33, 0, 319.87169, Blk0
Blk33, 0, 781.30606, Blk0
Blk34, 3, 52.05572, Blk19
Blk34, 3, 261.20152, Blk19
Blk34, -1, 720.69486, NO_PARENT
Blk35, 1, 114.31858, Blk33
Blk35, 1, 132.02463, Blk33
Blk35, 1, 321.52335, Blk33
Blk35, -1, 782.95772, NO_PARENT
Blk36, 4, 53.78675, Blk34
Blk36, 4, 262.93254, Blk34
Blk36, -1, 722.42589, NO_PARENT
Blk37, 1, 91.53994, Blk15
Blk37, 1, 298.41136, Blk15
Blk37, -1, 713.55626, NO_PARENT
Blk38, 1, 109.41937, Blk9
Blk38, 1, 210.95198, Blk9
Blk38, 1, 687.69708, Blk9
Blk38, -1, 772.74060, NO_PARENT
Blk39, 1, 176.24281, Blk31
Blk39, 1, 365.74153, Blk31
Blk39, 1, 776.62564, Blk31
Blk39, -1, 841.80822, NO_PARENT
Blk40, 5, 59.12133, Blk36
Blk40, 5, 268.26712, Blk36
Blk40, -1, 727.76047, NO_PARENT
Blk41, 2, 112.50884, Blk38
Blk41, 2, 214.04146, Blk38
Blk41, 2, 690.78656, Blk38
Blk41, -1, 775.83008, NO_PARENT
Blk42, 2, 178.50013, Blk39
Blk42, 2, 367.99884, Blk39
Blk42, 2, 778.88296, Blk39
Blk42, -1, 844.06554, NO_PARENT
Blk43, 3, 123.81489, Blk23
Blk43, -1, 882.23185, NO_PARENT
Blk44, 2, 137.91933, Blk22
Blk44, 2, 181.71190, Blk22
Blk44, 2, 738.30216, Blk22
Blk44, -1, 839.18034, NO_PARENT
Blk45, 0, 194.85669, Blk0
Blk45, 0, 197.33523, Blk0
Blk45, 0, 384.35541, Blk0
Blk45, 0, 795.23953, Blk0
Blk45, 0, 860.42210, Blk0
Blk46, 3, 116.03756, Blk41
Blk46, 3, 217.57018, Blk41
Blk46, 3, 694.31528, Blk41
Blk46, -1, 779.35880, NO_PARENT
Blk47, 1, 126.34415, Blk27
Blk47, 1, 158.03246, Blk27
Blk47, 1, 209.06544, Blk27
Blk47, 1, 685.81053, Blk27
Blk47, -1, 770.85405, NO_PARENT
Blk48, 1, 152.28196, Blk17
Blk48, 1, 253.81458, Blk17
Blk48, 1, 730.55967, Blk17
Blk48, -1, 815.60319, NO_PARENT
Blk49, 2, 79.90866, Blk25
Blk49, 2, 113.85975, Blk25
Blk49, 2, 219.38106, Blk25
Blk49, 2, 680.29149, Blk25
Blk49, -1, 781.16967, NO_PARENT
Blk50, 0, 59.00146, Blk0
Blk50, 0, 268.14726, Blk0
Blk50, 0, 727.64060, Blk0
Blk51, 6, 66.99944, Blk40
Blk51, 6, 276.14524, Blk40
Blk51, -1, 735.63858, NO_PARENT
Blk52, 3, 186.22069, Blk42
Blk52, 3, 375.71941, Blk42
Blk52, 3, 786.60353, Blk42
Blk52, -1, 851.78610, NO_PARENT
Blk53, 1, 118.37219, Blk30
Blk53, 1, 150.61210, Blk30
Blk53, 1, 290.08449, Blk30
