Peer36
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 105.55161, Blk0
Blk1, 0, 488.20817, Blk0
Blk2, 0, 2.04727, Blk0
Blk3, 0, 203.31298, Blk0
Blk3, 0, 400.67382, Blk0
Blk4, 0, 101.78933, Blk0
Blk4, 0, 375.67300, Blk0
Blk5, 0, 180.89894, Blk0
Blk5, 0, 439.89289, Blk0
Blk6, 0, 202.90803, Blk0
Blk6, 0, 476.79170, Blk0
Blk7, 1, 112.43137, Blk1
Blk7, -1, 495.08793, NO_PARENT
Blk8, 0, 167.65800, Blk0
Blk8, 0, 455.61627, Blk0
Blk9, 0, 126.99321, Blk0
Blk9, 0, 400.87688, Blk0
Blk10, 0, 131.57115, Blk0
Blk10, 0, 366.52611, Blk0
Blk11, 0, 136.29069, Blk0
Blk11, 0, 410.17436, Blk0
Blk12, 1, 208.37832, Blk6
Blk12, -1, 482.26199, NO_PARENT
Blk13, 1, 214.64940, Blk3
Blk13, -1, 412.01024, NO_PARENT
Blk14, 0, 130.18349, Blk0
Blk14, 0, 404.06717, Blk0
Blk15, 0, 201.69949, Blk0
Blk15, 0, 502.81742, Blk0
Blk16, 1, 182.42972, Blk8
Blk16, -1, 470.38799, NO_PARENT
Blk17, 0, 177.45597, Blk0
Blk17, 0, 451.33964, Blk0
Blk17, 0, 590.92947, Blk0
Blk18, 2, 220.17053, Blk12
Blk18, -1, 494.05421, NO_PARENT
Blk19, 2, 184.50031, Blk16
Blk19, -1, 472.45858, NO_PARENT
Blk20, 0, 87.85968, Blk0
Blk20, 0, 418.49447, Blk0
Blk21, 0, 84.70942, Blk0
Blk21, 0, 418.95173, Blk0
Blk22, 1, 149.97276, Blk10
Blk22, -1, 384.92771, NO_PARENT
Blk23, 2, 228.75527, Blk13
Blk23, -1, 426.11612, NO_PARENT
Blk24, 0, 89.25285, Blk0
Blk24, 0, 419.88763, Blk0
Blk25, 1, 90.99688, Blk20
Blk25, -1, 421.63166, NO_PARENT
Blk26, 3, 224.68786, Blk18
Blk26, -1, 498.57153, NO_PARENT
Blk27, 0, 139.19739, Blk0
Blk27, 0, 413.08106, Blk0
Blk28, 0, 730.55235, Blk0
Blk28, 0, 1004.43602, Blk0
Blk28, 0, 1144.02585, Blk0
Blk29, 1, 88.34551, Blk21
Blk29, -1, 422.58782, NO_PARENT
Blk30, 0, 159.69514, Blk0
Blk30, 0, 490.32993, Blk0
Blk31, 0, 223.65483, Blk0
Blk31, 0, 576.81032, Blk0
Blk32, 0, 158.61037, Blk0
Blk32, 0, 511.76586, Blk0
Blk33, 0, 187.05858, Blk0
Blk33, 0, 540.21407, Blk0
Blk34, 3, 193.58563, Blk19
Blk34, -1, 481.54390, NO_PARENT
Blk35, 1, 188.71024, Blk33
Blk35, -1, 541.86573, NO_PARENT
Blk36, 4, 195.31666, Blk34
Blk36, -1, 483.27493, NO_PARENT
Blk37, 1, 217.63582, Blk15
Blk37, -1, 518.75375, NO_PARENT
Blk38, 1, 157.41070, Blk9
Blk38, -1, 431.29437, NO_PARENT
Blk39, 1, 232.92842, Blk31
Blk39, -1, 586.08391, NO_PARENT
Blk40, 5, 200.65124, Blk36
Blk40, -1, 488.60950, NO_PARENT
Blk41, 2, 160.50017, Blk38
Blk41, -1, 434.38384, NO_PARENT
Blk42, 2, 235.18574, Blk39
Blk42, -1, 588.34123, NO_PARENT
Blk43, 3, 243.75010, Blk23
Blk43, -1, 441.11095, NO_PARENT
Blk44, 2, 167.09933, Blk22
Blk44, -1, 402.05428, NO_PARENT
Blk45, 0, 251.54230, Blk0
