Peer35
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 30.53124, Blk0
Blk1, 0, 72.01331, Blk0
Blk1, 0, 161.24250, Blk0
Blk1, 0, 449.42669, Blk0
Blk1, 0, 502.53117, Blk0
Blk2, 0, 83.36706, Blk0
Blk2, 0, 263.76398, Blk0
Blk2, 0, 414.36165, Blk0
Blk2, 0, 524.72772, Blk0
Blk3, 0, 142.95512, Blk0
Blk3, 0, 323.35204, Blk0
Blk3, 0, 361.89234, Blk0
Blk3, 0, 596.47781, Blk0
Blk4, 0, 66.25557, Blk0
Blk4, 0, 246.65248, Blk0
Blk4, 0, 336.89152, Blk0
Blk4, 0, 447.25759, Blk0
Blk5, 0, 121.71601, Blk0
Blk5, 0, 139.41258, Blk0
Blk5, 0, 252.42727, Blk0
Blk5, 0, 343.43359, Blk0
Blk5, 0, 401.11141, Blk0
Blk5, 0, 422.79517, Blk0
Blk6, 0, 167.37427, Blk0
Blk6, 0, 347.77118, Blk0
Blk6, 0, 438.01022, Blk0
Blk6, 0, 548.37629, Blk0
Blk7, 1, 37.41101, Blk1
Blk7, 1, 78.89307, Blk1
Blk7, 1, 168.12226, Blk1
Blk7, 1, 456.30645, Blk1
Blk7, -1, 509.41093, NO_PARENT
Blk8, 0, 85.70545, Blk0
Blk8, 0, 254.53768, Blk0
Blk8, 0, 261.17365, Blk0
Blk8, 0, 416.83479, Blk0
Blk8, 0, 482.86699, Blk0
Blk9, 0, 72.64812, Blk0
Blk9, 0, 253.04504, Blk0
Blk9, 0, 362.09540, Blk0
Blk9, 0, 472.46147, Blk0
Blk10, 0, 96.03739, Blk0
Blk10, 0, 276.43431, Blk0
Blk10, 0, 290.15052, Blk0
Blk10, 0, 533.79052, Blk0
Blk11, 0, 100.75693, Blk0
Blk11, 0, 281.15384, Blk0
Blk11, 0, 371.39288, Blk0
Blk11, 0, 481.75895, Blk0
Blk12, 1, 172.84456, Blk6
Blk12, 1, 353.24147, Blk6
Blk12, 1, 443.48051, Blk6
Blk12, -1, 553.84658, NO_PARENT
Blk13, 1, 154.29154, Blk3
Blk13, 1, 334.68846, Blk3
Blk13, 1, 373.22876, Blk3
Blk13, -1, 607.81424, NO_PARENT
Blk14, 0, 65.01693, Blk0
Blk14, 0, 245.41385, Blk0
Blk14, 0, 365.28569, Blk0
Blk14, 0, 475.65176, Blk0
Blk15, 0, 126.67913, Blk0
Blk15, 0, 135.18097, Blk0
Blk15, 0, 257.39039, Blk0
Blk15, 0, 339.20198, Blk0
Blk15, 0, 464.03594, Blk0
