Peer19
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 1.54185, Blk0
Blk2, 0, 104.06333, Blk0
Blk2, 0, 134.28823, Blk0
Blk2, 0, 194.65917, Blk0
Blk2, 0, 561.34048, Blk0
Blk2, 0, 953.83485, Blk0
Blk2, 0, 2146.04133, Blk0
Blk3, 0, 163.65139, Blk0
Blk3, 0, 241.86453, Blk0
Blk3, 0, 277.16417, Blk0
Blk3, 0, 600.81464, Blk0
Blk3, 0, 1013.42291, Blk0
Blk3, 0, 2217.79142, Blk0
Blk4, 0, 86.95184, Blk0
Blk4, 0, 117.18904, Blk0
Blk4, 0, 175.64052, Blk0
Blk4, 0, 485.33388, Blk0
Blk4, 0, 936.72335, Blk0
Blk4, 0, 2068.57120, Blk0
Blk5, 0, 92.72662, Blk0
Blk5, 0, 254.75014, Blk0
Blk5, 0, 460.87146, Blk0
Blk5, 0, 992.18380, Blk0
Blk5, 0, 2044.10878, Blk0
Blk6, 0, 188.07053, Blk0
Blk6, 0, 218.30774, Blk0
Blk6, 0, 276.75922, Blk0
Blk6, 0, 586.45257, Blk0
Blk6, 0, 1037.84205, Blk0
Blk6, 0, 2169.68989, Blk0
Blk7, 1, 8.42161, Blk1
Blk8, 0, 94.83704, Blk0
Blk8, 0, 106.40172, Blk0
Blk8, 0, 241.50920, Blk0
Blk8, 0, 453.78715, Blk0
Blk8, 0, 956.17324, Blk0
Blk8, 0, 2104.18060, Blk0
Blk9, 0, 93.34439, Blk0
Blk9, 0, 142.39292, Blk0
Blk9, 0, 200.84440, Blk0
Blk9, 0, 510.53776, Blk0
Blk9, 0, 943.11591, Blk0
Blk9, 0, 2093.77508, Blk0
Blk10, 0, 116.73366, Blk0
Blk10, 0, 203.72197, Blk0
Blk10, 0, 205.42234, Blk0
Blk10, 0, 571.86681, Blk0
Blk10, 0, 966.50518, Blk0
Blk10, 0, 2155.10413, Blk0
Blk11, 0, 121.45320, Blk0
Blk11, 0, 151.69040, Blk0
Blk11, 0, 210.14188, Blk0
Blk11, 0, 519.83524, Blk0
Blk11, 0, 971.22471, Blk0
Blk11, 0, 2103.07256, Blk0
Blk12, 1, 193.54083, Blk6
Blk12, 1, 223.77803, Blk6
Blk12, 1, 282.22951, Blk6
Blk12, 1, 591.92287, Blk6
Blk12, 1, 1043.31234, Blk6
Blk12, -1, 2175.16019, NO_PARENT
Blk13, 1, 174.98781, Blk3
Blk13, 1, 253.20095, Blk3
Blk13, 1, 288.50059, Blk3
Blk13, 1, 612.15106, Blk3
Blk13, 1, 1024.75933, Blk3
Blk13, -1, 2229.12784, NO_PARENT
Blk14, 0, 85.71320, Blk0
Blk14, 0, 145.58321, Blk0
Blk14, 0, 204.03469, Blk0
Blk14, 0, 513.72804, Blk0
Blk14, 0, 935.48472, Blk0
Blk14, 0, 2096.96536, Blk0
Blk15, 0, 97.68974, Blk0
Blk15, 0, 456.63985, Blk0
Blk15, 0, 997.14692, Blk0
Blk15, 0, 2107.03330, Blk0
Blk16, 1, 109.60876, Blk8
Blk16, 1, 256.28092, Blk8
Blk16, 1, 468.55887, Blk8
Blk16, 1, 970.94496, Blk8
Blk16, -1, 2118.95232, NO_PARENT
Blk17, 0, 143.80715, Blk0
Blk17, 0, 192.85568, Blk0
Blk17, 0, 251.30716, Blk0
Blk17, 0, 561.00051, Blk0
Blk17, 0, 993.57866, Blk0
Blk17, 0, 2144.23783, Blk0
Blk18, 2, 205.33304, Blk12
