Peer31
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 188.30444, Blk0
Blk1, 0, 780.77276, Blk0
Blk1, 0, 1117.42661, Blk0
Blk1, 0, 1898.27915, Blk0
Blk1, 0, 2166.09341, Blk0
Blk2, 0, 153.23940, Blk0
Blk2, 0, 792.12651, Blk0
Blk2, 0, 1839.58601, Blk0
Blk2, 0, 2239.11381, Blk0
Blk3, 0, 3.81642, Blk0
Blk4, 0, 75.76927, Blk0
Blk4, 0, 775.01501, Blk0
Blk4, 0, 1785.74398, Blk0
Blk4, 0, 2222.00232, Blk0
Blk5, 0, 139.98916, Blk0
Blk5, 0, 782.24091, Blk0
Blk5, 0, 1116.41623, Blk0
Blk5, 0, 1849.96387, Blk0
Blk5, 0, 2257.27818, Blk0
Blk6, 0, 176.88797, Blk0
Blk6, 0, 876.13371, Blk0
Blk6, 0, 910.88932, Blk0
Blk6, 0, 1886.86268, Blk0
Blk6, 0, 2323.12101, Blk0
Blk7, 1, 195.18420, Blk1
Blk7, 1, 787.65252, Blk1
Blk7, 1, 1124.30637, Blk1
Blk7, 1, 1905.15891, Blk1
Blk7, -1, 2172.97317, NO_PARENT
Blk8, 0, 155.71254, Blk0
Blk8, 0, 728.53378, Blk0
Blk8, 0, 1062.70909, Blk0
Blk8, 0, 1865.68725, Blk0
Blk8, 0, 2217.89837, Blk0
Blk9, 0, 100.97315, Blk0
Blk9, 0, 781.40757, Blk0
Blk9, 0, 1810.94786, Blk0
Blk9, 0, 2228.39487, Blk0
Blk10, 0, 66.62238, Blk0
Blk10, 0, 804.79684, Blk0
Blk10, 0, 1776.59709, Blk0
Blk10, 0, 2251.78414, Blk0
Blk11, 0, 110.27063, Blk0
Blk11, 0, 809.51637, Blk0
Blk11, 0, 923.70889, Blk0
Blk11, 0, 1820.24534, Blk0
Blk11, 0, 2256.50368, Blk0
Blk12, 1, 182.35826, Blk6
Blk12, 1, 881.60401, Blk6
Blk12, 1, 916.35961, Blk6
Blk12, 1, 1892.33297, Blk6
Blk12, -1, 2328.59131, NO_PARENT
Blk13, 1, 15.15284, Blk3
Blk14, 0, 104.16344, Blk0
Blk14, 0, 773.77638, Blk0
Blk14, 0, 1814.13815, Blk0
Blk14, 0, 2220.76368, Blk0
Blk15, 0, 202.91369, Blk0
Blk15, 0, 778.00930, Blk0
Blk15, 0, 1112.18462, Blk0
Blk15, 0, 1912.88840, Blk0
Blk15, 0, 2262.24130, Blk0
Blk16, 1, 170.48426, Blk8
Blk16, 1, 743.30550, Blk8
Blk16, 1, 1077.48082, Blk8
Blk16, 1, 1880.45897, Blk8
Blk16, -1, 2232.67009, NO_PARENT
Blk17, 0, 151.43591, Blk0
Blk17, 0, 831.87032, Blk0
Blk17, 0, 1861.41062, Blk0
Blk17, 0, 2278.85763, Blk0
Blk18, 2, 194.15048, Blk12
Blk18, 2, 893.39622, Blk12
Blk18, 2, 928.15183, Blk12
Blk18, 2, 1904.12519, Blk12
Blk18, -1, 2340.38352, NO_PARENT
