Peer25
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 90.33118, Blk0
Blk1, 0, 236.94726, Blk0
Blk1, 0, 1340.89238, Blk0
Blk2, 0, 163.35158, Blk0
Blk2, 0, 201.88222, Blk0
Blk2, 0, 1305.82735, Blk0
Blk3, 0, 149.41291, Blk0
Blk3, 0, 222.93964, Blk0
Blk3, 0, 1347.79216, Blk0
Blk4, 0, 124.41209, Blk0
Blk4, 0, 146.24008, Blk0
Blk4, 0, 1261.15823, Blk0
Blk5, 0, 181.51595, Blk0
Blk5, 0, 188.63198, Blk0
Blk5, 0, 1325.37813, Blk0
Blk6, 0, 225.53079, Blk0
Blk6, 0, 247.35878, Blk0
Blk6, 0, 1257.76741, Blk0
Blk7, 1, 97.21094, Blk1
Blk7, 1, 243.82702, Blk1
Blk7, -1, 1347.77215, NO_PARENT
Blk8, 0, 165.68997, Blk0
Blk8, 0, 204.35536, Blk0
Blk8, 0, 1330.15028, Blk0
Blk9, 0, 149.61597, Blk0
Blk9, 0, 152.63264, Blk0
Blk9, 0, 1286.36211, Blk0
Blk10, 0, 77.67109, Blk0
Blk10, 0, 176.02191, Blk0
Blk10, 0, 1276.05033, Blk0
Blk11, 0, 158.91345, Blk0
Blk11, 0, 180.74144, Blk0
Blk11, 0, 1191.15007, Blk0
Blk12, 1, 231.00108, Blk6
Blk12, 1, 252.82907, Blk6
Blk12, -1, 1263.23770, NO_PARENT
Blk13, 1, 160.74933, Blk3
Blk13, 1, 234.27606, Blk3
Blk13, -1, 1359.12858, NO_PARENT
Blk14, 0, 145.00145, Blk0
Blk14, 0, 152.80626, Blk0
Blk14, 0, 1289.55240, Blk0
Blk15, 0, 186.47906, Blk0
Blk15, 0, 251.55651, Blk0
Blk15, 0, 1356.95917, Blk0
Blk16, 1, 180.46169, Blk8
Blk16, 1, 219.12708, Blk8
Blk16, -1, 1344.92200, NO_PARENT
Blk17, 0, 200.07873, Blk0
Blk17, 0, 203.09539, Blk0
Blk17, 0, 1336.82487, Blk0
Blk18, 2, 242.79330, Blk12
Blk18, 2, 264.62129, Blk12
Blk18, -1, 1275.02992, NO_PARENT
Blk19, 2, 182.53227, Blk16
Blk19, 2, 221.19767, Blk16
Blk19, -1, 1346.99258, NO_PARENT
Blk20, 0, 132.31044, Blk0
Blk20, 0, 135.84098, Blk0
Blk20, 0, 1232.33887, Blk0
Blk21, 0, 129.16018, Blk0
Blk21, 0, 167.69082, Blk0
Blk21, 0, 1271.63595, Blk0
Blk22, 1, 96.07269, Blk10
Blk22, 1, 194.42351, Blk10
Blk22, -1, 1294.45194, NO_PARENT
Blk23, 2, 174.85521, Blk13
Blk23, 2, 248.38193, Blk13
Blk23, -1, 1373.23445, NO_PARENT
Blk24, 0, 133.70360, Blk0
Blk24, 0, 137.23414, Blk0
Blk24, 0, 1233.73203, Blk0
Blk25, 1, 135.44764, Blk20
Blk25, 1, 138.97818, Blk20
Blk25, -1, 1235.47606, NO_PARENT
Blk26, 3, 247.31062, Blk18
Blk26, 3, 269.13862, Blk18
Blk26, -1, 1279.54724, NO_PARENT
Blk27, 0, 161.82015, Blk0
Blk27, 0, 183.64814, Blk0
Blk27, 0, 1194.05677, Blk0
Blk28, 0, 753.17511, Blk0
Blk28, 0, 756.19178, Blk0
Blk28, 0, 1889.92125, Blk0
Blk29, 1, 132.79626, Blk21
Blk29, 1, 171.32691, Blk21
Blk29, -1, 1275.27203, NO_PARENT
Blk30, 0, 199.95597, Blk0
Blk30, 0, 207.67644, Blk0
Blk30, 0, 1304.17433, Blk0
Blk31, 0, 178.93332, Blk0
Blk31, 0, 325.54941, Blk0
Blk31, 0, 1429.49453, Blk0
Blk32, 0, 113.88887, Blk0
Blk32, 0, 260.50496, Blk0
Blk32, 0, 1364.45008, Blk0
Blk33, 0, 142.33708, Blk0
Blk33, 0, 288.95316, Blk0
Blk33, 0, 1392.89828, Blk0
Blk34, 3, 191.61760, Blk19
Blk34, 3, 230.28299, Blk19
Blk34, -1, 1356.07791, NO_PARENT
Blk35, 1, 143.98874, Blk33
Blk35, 1, 290.60482, Blk33
Blk35, -1, 1394.54995, NO_PARENT
Blk36, 4, 193.34862, Blk34
Blk36, 4, 232.01402, Blk34
Blk36, -1, 1357.80893, NO_PARENT
Blk37, 1, 202.41539, Blk15
Blk37, 1, 267.49284, Blk15
Blk37, -1, 1372.89550, NO_PARENT
Blk38, 1, 180.03346, Blk9
Blk38, -1, 1316.77960, NO_PARENT
Blk39, 1, 188.20691, Blk31
Blk39, 1, 334.82300, Blk31
Blk39, -1, 1438.76812, NO_PARENT
Blk40, 5, 198.68320, Blk36
Blk40, 5, 237.34860, Blk36
Blk40, -1, 1363.14351, NO_PARENT
Blk41, 2, 183.12293, Blk38
Blk41, -1, 1319.86908, NO_PARENT
Blk42, 2, 190.46423, Blk39
Blk42, 2, 337.08032, Blk39
Blk42, -1, 1441.02544, NO_PARENT
Blk43, 3, 189.85004, Blk23
Blk43, 3, 263.37676, Blk23
Blk43, -1, 1388.22929, NO_PARENT
Blk44, 2, 113.19926, Blk22
Blk44, 2, 211.55008, Blk22
Blk44, -1, 1311.57851, NO_PARENT
Blk45, 0, 45.46777, Blk0
Blk46, 3, 186.65165, Blk41
Blk46, -1, 1323.39780, NO_PARENT
Blk47, 1, 178.14691, Blk27
Blk47, 1, 199.97490, Blk27
Blk47, -1, 1210.38353, NO_PARENT
Blk48, 1, 222.89605, Blk17
Blk48, -1, 1359.64219, NO_PARENT
Blk49, 2, 153.53941, Blk25
Blk49, -1, 1253.56784, NO_PARENT
Blk50, 0, 198.56334, Blk0
Blk50, 0, 237.22873, Blk0
Blk50, 0, 1363.02365, Blk0
Blk51, 6, 206.56132, Blk40
Blk51, -1, 1371.02163, NO_PARENT
Blk52, 3, 198.18479, Blk42
Blk52, 3, 344.80088, Blk42
Blk52, -1, 1448.74600, NO_PARENT
Blk53, 1, 220.05292, Blk30
Blk53, -1, 1324.27128, NO_PARENT
Blk54, 2, 229.04340, Blk48
Blk54, -1, 1365.78954, NO_PARENT
Blk55, 3, 161.80335, Blk49
Blk55, -1, 1261.83178, NO_PARENT
Blk56, 2, 188.30645, Blk47
Blk56, -1, 1220.54306, NO_PARENT
