Peer29
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 176.72950, Blk0
Blk1, 0, 220.70491, Blk0
Blk1, 0, 238.35353, Blk0
Blk1, 0, 325.42190, Blk0
Blk1, 0, 1005.76226, Blk0
Blk1, 0, 2090.34117, Blk0
Blk2, 0, 141.66446, Blk0
Blk2, 0, 205.36751, Blk0
Blk2, 0, 226.51255, Blk0
Blk2, 0, 269.26222, Blk0
Blk2, 0, 1078.78266, Blk0
Blk2, 0, 1986.83684, Blk0
Blk3, 0, 183.62928, Blk0
Blk3, 0, 188.03815, Blk0
Blk3, 0, 237.88754, Blk0
Blk3, 0, 280.56778, Blk0
Blk3, 0, 1064.84400, Blk0
Blk3, 0, 2188.10254, Blk0
Blk4, 0, 96.99535, Blk0
Blk4, 0, 127.89738, Blk0
Blk4, 0, 212.88672, Blk0
Blk4, 0, 244.15694, Blk0
Blk4, 0, 1039.84318, Blk0
Blk4, 0, 2086.57889, Blk0
Blk5, 0, 161.21525, Blk0
Blk5, 0, 219.69453, Blk0
Blk5, 0, 237.34315, Blk0
Blk5, 0, 277.10662, Blk0
Blk5, 0, 1096.94703, Blk0
Blk5, 0, 2165.68851, Blk0
Blk6, 0, 93.60453, Blk0
Blk6, 0, 198.11405, Blk0
Blk6, 0, 314.00542, Blk0
Blk6, 0, 1140.96187, Blk0
Blk6, 0, 2187.69759, Blk0
Blk7, 1, 183.60926, Blk1
Blk7, 1, 227.58467, Blk1
Blk7, 1, 245.23329, Blk1
Blk7, 1, 332.30166, Blk1
Blk7, 1, 1012.64202, Blk1
Blk7, -1, 2097.22093, NO_PARENT
Blk8, 0, 165.98740, Blk0
Blk8, 0, 176.93862, Blk0
Blk8, 0, 183.63602, Blk0
Blk8, 0, 292.82999, Blk0
Blk8, 0, 1081.12105, Blk0
Blk8, 0, 2152.44756, Blk0
Blk9, 0, 122.19923, Blk0
Blk9, 0, 128.89663, Blk0
Blk9, 0, 238.09060, Blk0
Blk9, 0, 258.54328, Blk0
Blk9, 0, 1065.04706, Blk0
Blk9, 0, 2111.78277, Blk0
Blk10, 0, 111.88745, Blk0
Blk10, 0, 203.73983, Blk0
Blk10, 0, 218.03784, Blk0
Blk10, 0, 250.84411, Blk0
Blk10, 0, 993.10217, Blk0
Blk10, 0, 2116.36071, Blk0
Blk11, 0, 26.98719, Blk0
Blk11, 0, 131.49671, Blk0
Blk11, 0, 247.38808, Blk0
Blk11, 0, 1074.34454, Blk0
Blk11, 0, 2121.08025, Blk0
Blk12, 1, 99.07482, Blk6
Blk12, 1, 203.58434, Blk6
Blk12, 1, 319.47571, Blk6
Blk12, 1, 1146.43217, Blk6
Blk12, -1, 2193.16788, NO_PARENT
Blk13, 1, 194.96570, Blk3
Blk13, 1, 249.22396, Blk3
Blk13, 1, 291.90420, Blk3
Blk13, 1, 1076.18042, Blk3
Blk13, -1, 2199.43896, NO_PARENT
Blk14, 0, 125.38952, Blk0
Blk14, 0, 156.29154, Blk0
Blk14, 0, 241.28089, Blk0
Blk14, 0, 250.91209, Blk0
Blk14, 0, 1060.43253, Blk0
Blk14, 0, 2114.97306, Blk0
Blk15, 0, 192.79629, Blk0
Blk15, 0, 215.46292, Blk0
Blk15, 0, 233.11154, Blk0
Blk15, 0, 340.03114, Blk0
Blk15, 0, 1101.91015, Blk0
Blk15, 0, 2186.48905, Blk0
Blk16, 1, 180.75912, Blk8
Blk16, 1, 191.71034, Blk8
Blk16, 1, 307.60172, Blk8
Blk16, 1, 1095.89277, Blk8
Blk16, -1, 2167.21929, NO_PARENT
Blk17, 0, 172.66199, Blk0
Blk17, 0, 179.35939, Blk0
Blk17, 0, 288.55336, Blk0
Blk17, 0, 309.00603, Blk0
Blk17, 0, 1115.50981, Blk0
Blk17, 0, 1834.42675, Blk0
Blk18, 2, 110.86703, Blk12
Blk18, 2, 215.37656, Blk12
Blk18, 2, 331.26793, Blk12
Blk18, 2, 1158.22438, Blk12
Blk18, -1, 2204.96010, NO_PARENT
Blk19, 2, 182.82970, Blk16
Blk19, 2, 193.78093, Blk16
Blk19, 2, 309.67230, Blk16
Blk19, 2, 1097.96336, Blk16
Blk19, -1, 2169.28987, NO_PARENT
Blk20, 0, 68.17599, Blk0
Blk20, 0, 174.32637, Blk0
Blk20, 0, 255.70819, Blk0
Blk20, 0, 1047.74152, Blk0
Blk20, 0, 2072.64925, Blk0
Blk21, 0, 107.47307, Blk0
Blk21, 0, 171.17611, Blk0
Blk21, 0, 235.07082, Blk0
Blk21, 0, 256.16546, Blk0
Blk21, 0, 1044.59126, Blk0
Blk21, 0, 2069.49899, Blk0
Blk22, 1, 130.28906, Blk10
Blk22, 1, 222.14144, Blk10
Blk22, 1, 269.24572, Blk10
Blk22, 1, 1011.50378, Blk10
Blk22, -1, 2134.76232, NO_PARENT
Blk23, 2, 209.07157, Blk13
Blk23, 2, 263.32984, Blk13
Blk23, 2, 306.01007, Blk13
Blk23, 2, 1090.28629, Blk13
Blk23, -1, 2213.54483, NO_PARENT
Blk24, 0, 69.56915, Blk0
Blk24, 0, 175.71953, Blk0
Blk24, 0, 257.10135, Blk0
Blk24, 0, 1049.13469, Blk0
Blk24, 0, 2074.04241, Blk0
Blk25, 1, 71.31318, Blk20
Blk25, 1, 177.46357, Blk20
Blk25, 1, 258.84539, Blk20
Blk25, 1, 1050.87872, Blk20
Blk25, -1, 2075.78644, NO_PARENT
Blk26, 3, 115.38436, Blk18
Blk26, 3, 219.89388, Blk18
Blk26, 3, 335.78525, Blk18
Blk26, 3, 1162.74171, Blk18
Blk26, -1, 2209.47742, NO_PARENT
Blk27, 0, 29.89389, Blk0
Blk28, 0, 725.75837, Blk0
Blk28, 0, 732.45577, Blk0
