Peer21
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 146.76066, Blk0
Blk1, 0, 167.93656, Blk0
Blk1, 0, 758.22376, Blk0
Blk1, 0, 1502.80979, Blk0
Blk2, 0, 111.69562, Blk0
Blk2, 0, 219.99488, Blk0
Blk2, 0, 811.05958, Blk0
Blk2, 0, 1403.90045, Blk0
Blk3, 0, 153.66044, Blk0
Blk3, 0, 295.29988, Blk0
Blk3, 0, 870.64763, Blk0
Blk3, 0, 1415.27544, Blk0
Blk4, 0, 67.02651, Blk0
Blk4, 0, 169.36816, Blk0
Blk4, 0, 793.94808, Blk0
Blk4, 0, 1390.27462, Blk0
Blk5, 0, 131.24640, Blk0
Blk5, 0, 144.90574, Blk0
Blk5, 0, 785.76618, Blk0
Blk5, 0, 1454.49451, Blk0
Blk6, 0, 168.14521, Blk0
Blk6, 0, 270.48685, Blk0
Blk6, 0, 895.06678, Blk0
Blk6, 0, 1491.39331, Blk0
Blk7, 1, 153.64042, Blk1
Blk7, 1, 174.81632, Blk1
Blk7, 1, 765.10352, Blk1
Blk7, -1, 1509.68955, NO_PARENT
Blk8, 0, 146.96978, Blk0
Blk8, 0, 148.27238, Blk0
Blk8, 0, 703.50624, Blk0
Blk8, 0, 1470.21789, Blk0
Blk9, 0, 92.23039, Blk0
Blk9, 0, 194.57204, Blk0
Blk9, 0, 800.34063, Blk0
Blk9, 0, 1415.47850, Blk0
Blk10, 0, 81.91861, Blk0
Blk10, 0, 232.66520, Blk0
Blk10, 0, 823.72990, Blk0
Blk10, 0, 1381.12773, Blk0
Blk11, 0, 101.52787, Blk0
Blk11, 0, 203.86952, Blk0
Blk11, 0, 828.44944, Blk0
Blk11, 0, 1424.77598, Blk0
Blk12, 1, 173.61550, Blk6
Blk12, 1, 275.95715, Blk6
Blk12, 1, 900.53707, Blk6
Blk12, -1, 1496.86361, NO_PARENT
Blk13, 1, 164.99686, Blk3
Blk13, 1, 306.63630, Blk3
Blk13, 1, 881.98405, Blk3
Blk13, -1, 1426.61186, NO_PARENT
Blk14, 0, 95.42067, Blk0
Blk14, 0, 197.76232, Blk0
Blk14, 0, 792.70944, Blk0
Blk14, 0, 1418.66878, Blk0
Blk15, 0, 151.12509, Blk0
Blk15, 0, 781.53457, Blk0
Blk15, 0, 1517.41903, Blk0
Blk16, 1, 161.74150, Blk8
Blk16, 1, 718.27797, Blk8
Blk16, -1, 1484.98961, NO_PARENT
Blk17, 0, 142.69315, Blk0
Blk17, 0, 245.03479, Blk0
Blk17, 0, 850.80339, Blk0
Blk17, 0, 1465.94125, Blk0
Blk18, 2, 185.40772, Blk12
Blk18, 2, 287.74936, Blk12
Blk18, 2, 912.32929, Blk12
Blk18, -1, 1508.65582, NO_PARENT
Blk19, 2, 163.81209, Blk16
Blk19, 2, 720.34855, Blk16
Blk19, -1, 1487.06019, NO_PARENT
Blk20, 0, 26.50478, Blk0
Blk21, 0, 77.50422, Blk0
Blk21, 0, 185.80348, Blk0
Blk21, 0, 776.86818, Blk0
Blk21, 0, 1433.55335, Blk0
Blk22, 1, 100.32021, Blk10
Blk22, 1, 251.06681, Blk10
Blk22, 1, 842.13151, Blk10
Blk22, -1, 1399.52933, NO_PARENT
Blk23, 2, 179.10273, Blk13
Blk23, 2, 320.74217, Blk13
Blk23, 2, 896.08993, Blk13
Blk23, -1, 1440.71773, NO_PARENT
Blk24, 0, 39.60030, Blk0
Blk24, 0, 190.34690, Blk0
Blk24, 0, 781.41160, Blk0
Blk24, 0, 1434.48925, Blk0
Blk25, 1, 29.64198, Blk20
Blk26, 3, 189.92504, Blk18
Blk26, 3, 292.26669, Blk18
Blk26, 3, 916.84661, Blk18
Blk26, -1, 1513.17315, NO_PARENT
Blk27, 0, 104.43457, Blk0
Blk27, 0, 206.77622, Blk0
Blk27, 0, 831.35614, Blk0
Blk27, 0, 1427.68268, Blk0
Blk28, 0, 695.78953, Blk0
Blk28, 0, 798.13118, Blk0
Blk28, 0, 1403.89977, Blk0
Blk28, 0, 2019.03764, Blk0
Blk29, 1, 81.14031, Blk21
Blk29, 1, 189.43956, Blk21
Blk29, 1, 780.50426, Blk21
Blk29, -1, 1437.18944, NO_PARENT
Blk30, 0, 98.34024, Blk0
Blk30, 0, 804.20620, Blk0
Blk30, 0, 1504.93155, Blk0
Blk31, 0, 235.36281, Blk0
Blk31, 0, 286.03978, Blk0
Blk31, 0, 846.82590, Blk0
Blk31, 0, 1591.41193, Blk0
Blk32, 0, 170.31835, Blk0
Blk32, 0, 206.36301, Blk0
Blk32, 0, 761.59687, Blk0
Blk32, 0, 1526.36748, Blk0
Blk33, 0, 198.76656, Blk0
Blk33, 0, 234.81121, Blk0
Blk33, 0, 790.04507, Blk0
Blk33, 0, 1554.81569, Blk0
Blk34, 3, 172.89741, Blk19
Blk34, 3, 729.43388, Blk19
Blk34, -1, 1496.14552, NO_PARENT
Blk35, 1, 200.41822, Blk33
Blk35, 1, 236.46287, Blk33
Blk35, 1, 791.69673, Blk33
Blk35, -1, 1556.46735, NO_PARENT
Blk36, 4, 174.62844, Blk34
Blk36, 4, 731.16490, Blk34
Blk36, -1, 1497.87654, NO_PARENT
Blk37, 1, 167.06141, Blk15
Blk37, 1, 797.47090, Blk15
Blk37, -1, 1533.35536, NO_PARENT
Blk38, 1, 122.64788, Blk9
Blk38, 1, 224.98953, Blk9
Blk38, 1, 830.75812, Blk9
Blk38, -1, 1445.89599, NO_PARENT
Blk39, 1, 244.63640, Blk31
Blk39, 1, 295.31337, Blk31
Blk39, 1, 856.09949, Blk31
Blk39, -1, 1600.68553, NO_PARENT
Blk40, 5, 179.96301, Blk36
