Peer1
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 61.29497, Blk0
Blk1, 0, 122.79838, Blk0
Blk2, 0, 72.64872, Blk0
Blk2, 0, 134.31537, Blk0
Blk2, 0, 190.25686, Blk0
Blk3, 0, 132.23678, Blk0
Blk3, 0, 157.06087, Blk0
Blk3, 0, 181.62961, Blk0
Blk3, 0, 193.90343, Blk0
Blk3, 0, 265.45713, Blk0
Blk4, 0, 55.53723, Blk0
Blk4, 0, 112.78673, Blk0
Blk4, 0, 117.20388, Blk0
Blk4, 0, 129.44634, Blk0
Blk5, 0, 128.69424, Blk0
Blk5, 0, 134.64684, Blk0
Blk5, 0, 152.47974, Blk0
Blk5, 0, 178.08708, Blk0
Blk5, 0, 213.98314, Blk0
Blk5, 0, 222.23250, Blk0
Blk6, 0, 156.65592, Blk0
Blk6, 0, 189.70080, Blk0
Blk6, 0, 218.32257, Blk0
Blk6, 0, 230.56504, Blk0
Blk7, 1, 68.17473, Blk1
Blk7, -1, 129.67814, NO_PARENT
Blk8, 0, 74.98711, Blk0
Blk8, 0, 124.37994, Blk0
Blk8, 0, 136.65376, Blk0
Blk8, 0, 168.52537, Blk0
Blk9, 0, 61.92978, Blk0
Blk9, 0, 80.74111, Blk0
Blk9, 0, 123.59643, Blk0
Blk9, 0, 154.65022, Blk0
Blk10, 0, 85.31905, Blk0
Blk10, 0, 146.98570, Blk0
Blk10, 0, 202.92719, Blk0
Blk11, 0, 90.03859, Blk0
Blk11, 0, 123.08346, Blk0
Blk11, 0, 151.70524, Blk0
Blk11, 0, 163.94770, Blk0
Blk12, 1, 162.12622, Blk6
Blk12, 1, 195.17109, Blk6
Blk12, 1, 223.79287, Blk6
Blk12, -1, 236.03533, NO_PARENT
Blk13, 1, 143.57320, Blk3
Blk13, 1, 168.39729, Blk3
Blk13, 1, 192.96603, Blk3
Blk13, 1, 205.23985, Blk3
Blk13, -1, 276.79355, NO_PARENT
Blk14, 0, 54.29859, Blk0
Blk14, 0, 83.93139, Blk0
Blk14, 0, 115.96524, Blk0
Blk14, 0, 141.18090, Blk0
Blk15, 0, 124.46263, Blk0
Blk15, 0, 157.44286, Blk0
Blk15, 0, 166.22788, Blk0
Blk15, 0, 173.85547, Blk0
Blk15, 0, 218.00089, Blk0
Blk15, 0, 218.94626, Blk0
Blk16, 1, 89.75883, Blk8
Blk16, 1, 139.15167, Blk8
Blk16, -1, 183.29709, NO_PARENT
Blk17, 0, 112.39253, Blk0
Blk17, 0, 131.20386, Blk0
Blk17, 0, 174.05918, Blk0
Blk17, 0, 205.11298, Blk0
Blk18, 2, 173.91843, Blk12
Blk18, 2, 206.96331, Blk12
Blk18, -1, 235.58508, NO_PARENT
Blk19, 2, 91.82941, Blk16
Blk19, 2, 141.22225, Blk16
Blk19, -1, 185.36768, NO_PARENT
Blk20, 0, 41.60758, Blk0
Blk20, 0, 103.27423, Blk0
Blk20, 0, 159.21572, Blk0
Blk21, 0, 38.45732, Blk0
Blk21, 0, 100.12397, Blk0
Blk21, 0, 156.06546, Blk0
Blk22, 1, 103.72065, Blk10
Blk22, 1, 165.38730, Blk10
Blk22, -1, 221.32880, NO_PARENT
Blk23, 2, 157.67907, Blk13
Blk23, 2, 182.50317, Blk13
Blk23, 2, 207.07191, Blk13
Blk23, -1, 290.89942, NO_PARENT
Blk24, 0, 43.00074, Blk0
Blk24, 0, 104.66739, Blk0
Blk24, 0, 160.60888, Blk0
Blk25, 1, 44.74478, Blk20
Blk25, 1, 106.41143, Blk20
Blk25, -1, 162.35292, NO_PARENT
Blk26, 3, 178.43576, Blk18
Blk26, 3, 211.48063, Blk18
Blk26, -1, 240.10241, NO_PARENT
Blk27, 0, 92.94528, Blk0
Blk27, 0, 125.99016, Blk0
Blk27, 0, 154.61193, Blk0
Blk27, 0, 166.85440, Blk0
Blk28, 0, 665.48892, Blk0
Blk28, 0, 684.30025, Blk0
Blk28, 0, 727.15557, Blk0
Blk28, 0, 758.20936, Blk0
Blk29, 1, 42.09341, Blk21
Blk29, 1, 103.76006, Blk21
Blk29, -1, 159.70155, NO_PARENT
Blk30, 0, 113.44304, Blk0
Blk30, 0, 147.13426, Blk0
Blk30, 0, 170.91976, Blk0
Blk30, 0, 196.52709, Blk0
Blk30, 0, 231.05118, Blk0
Blk31, 0, 149.89711, Blk0
Blk31, 0, 211.40052, Blk0
Blk32, 0, 84.85266, Blk0
Blk32, 0, 126.17149, Blk0
Blk32, 0, 133.07773, Blk0
Blk32, 0, 182.47057, Blk0
Blk32, 0, 226.61599, Blk0
Blk33, 0, 113.30087, Blk0
Blk33, 0, 154.61969, Blk0
Blk33, 0, 161.52594, Blk0
Blk33, 0, 210.91877, Blk0
Blk33, 0, 255.06420, Blk0
