Peer17
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 48.21098, Blk0
Blk1, 0, 74.06959, Blk0
Blk1, 0, 752.41131, Blk0
Blk1, 0, 1333.89286, Blk0
Blk2, 0, 126.90541, Blk0
Blk2, 0, 128.36894, Blk0
Blk2, 0, 717.34627, Blk0
Blk2, 0, 1436.41434, Blk0
Blk3, 0, 166.37957, Blk0
Blk3, 0, 664.87695, Blk0
Blk3, 0, 1496.00240, Blk0
Blk4, 0, 50.89881, Blk0
Blk4, 0, 639.87613, Blk0
Blk4, 0, 1419.30284, Blk0
Blk5, 0, 26.43639, Blk0
Blk5, 0, 704.09603, Blk0
Blk5, 0, 1425.07763, Blk0
Blk6, 0, 152.01751, Blk0
Blk6, 0, 740.99483, Blk0
Blk6, 0, 1520.42154, Blk0
Blk7, 1, 55.09074, Blk1
Blk7, 1, 80.94935, Blk1
Blk7, 1, 759.29107, Blk1
Blk7, -1, 1340.77262, NO_PARENT
Blk8, 0, 19.35208, Blk0
Blk8, 0, 719.81940, Blk0
Blk8, 0, 1427.18805, Blk0
Blk9, 0, 76.10269, Blk0
Blk9, 0, 116.18647, Blk0
Blk9, 0, 665.08001, Blk0
Blk9, 0, 1425.69540, Blk0
Blk10, 0, 137.43174, Blk0
Blk10, 0, 139.57574, Blk0
Blk10, 0, 593.13513, Blk0
Blk10, 0, 1449.08467, Blk0
Blk11, 0, 85.40017, Blk0
Blk11, 0, 674.37749, Blk0
Blk11, 0, 1453.80420, Blk0
Blk12, 1, 157.48780, Blk6
Blk12, 1, 746.46512, Blk6
Blk12, -1, 1525.89184, NO_PARENT
Blk13, 1, 177.71599, Blk3
Blk13, 1, 676.21338, Blk3
Blk13, -1, 1507.33882, NO_PARENT
Blk14, 0, 79.29298, Blk0
Blk14, 0, 108.55528, Blk0
Blk14, 0, 668.27030, Blk0
Blk14, 0, 1418.06421, Blk0
Blk15, 0, 22.20478, Blk0
Blk16, 1, 34.12380, Blk8
Blk16, 1, 734.59113, Blk8
Blk16, -1, 1441.95977, NO_PARENT
Blk17, 0, 126.56545, Blk0
Blk17, 0, 166.64923, Blk0
Blk17, 0, 715.54277, Blk0
Blk17, 0, 1476.15815, Blk0
Blk18, 2, 169.28002, Blk12
Blk18, 2, 758.25734, Blk12
Blk18, -1, 1537.68405, NO_PARENT
Blk19, 2, 36.19439, Blk16
Blk19, 2, 736.66171, Blk16
Blk19, -1, 1444.03035, NO_PARENT
Blk20, 0, 85.85476, Blk0
Blk20, 0, 93.72028, Blk0
Blk20, 0, 682.69760, Blk0
Blk20, 0, 1405.37320, Blk0
Blk21, 0, 92.71401, Blk0
Blk21, 0, 94.17754, Blk0
Blk21, 0, 683.15487, Blk0
Blk21, 0, 1402.22294, Blk0
Blk22, 1, 155.83335, Blk10
Blk22, 1, 611.53673, Blk10
Blk22, -1, 1467.48627, NO_PARENT
Blk23, 2, 191.82187, Blk13
Blk23, 2, 690.31925, Blk13
Blk23, -1, 1521.44469, NO_PARENT
Blk24, 0, 95.11344, Blk0
Blk24, 0, 97.25743, Blk0
Blk24, 0, 684.09076, Blk0
Blk24, 0, 1406.76636, Blk0
Blk25, 1, 88.99196, Blk20
Blk25, 1, 96.85748, Blk20
Blk25, 1, 685.83480, Blk20
Blk25, -1, 1408.51040, NO_PARENT
Blk26, 3, 173.79734, Blk18
Blk26, 3, 762.77467, Blk18
Blk26, -1, 1542.20138, NO_PARENT
Blk27, 0, 88.30687, Blk0
Blk27, 0, 677.28419, Blk0
Blk27, 0, 1456.71090, Blk0
Blk28, 0, 679.66183, Blk0
Blk28, 0, 719.74561, Blk0
Blk28, 0, 1268.63915, Blk0
Blk28, 0, 2029.25454, Blk0
Blk29, 1, 96.35010, Blk21
Blk29, 1, 686.79095, Blk21
Blk29, -1, 1405.85903, NO_PARENT
Blk30, 0, 44.87641, Blk0
Blk30, 0, 754.53306, Blk0
Blk30, 0, 1443.51765, Blk0
Blk31, 0, 162.67174, Blk0
Blk31, 0, 166.31420, Blk0
Blk31, 0, 841.01345, Blk0
Blk31, 0, 1451.99608, Blk0
Blk32, 0, 77.44270, Blk0
Blk32, 0, 775.96900, Blk0
Blk32, 0, 1386.95163, Blk0
Blk33, 0, 105.89091, Blk0
Blk33, 0, 365.33717, Blk0
Blk33, 0, 1415.39984, Blk0
Blk34, 3, 45.27971, Blk19
Blk34, 3, 745.74703, Blk19
Blk34, -1, 1453.11568, NO_PARENT
Blk35, 1, 107.54257, Blk33
Blk35, 1, 366.98883, Blk33
Blk35, -1, 1417.05150, NO_PARENT
Blk36, 4, 47.01074, Blk34
Blk36, 4, 747.47806, Blk34
Blk36, -1, 1454.84670, NO_PARENT
Blk37, 1, 38.14111, Blk15
Blk38, 1, 106.52018, Blk9
Blk38, 1, 146.60396, Blk9
Blk38, 1, 695.49750, Blk9
Blk38, -1, 1456.11288, NO_PARENT
Blk39, 1, 171.94533, Blk31
Blk39, 1, 850.28704, Blk31
Blk39, -1, 1461.26967, NO_PARENT
Blk40, 5, 52.34532, Blk36
Blk40, 5, 752.81264, Blk36
Blk40, -1, 1460.18128, NO_PARENT
Blk41, 2, 109.60965, Blk38
Blk41, 2, 149.69343, Blk38
Blk41, 2, 698.58698, Blk38
Blk41, -1, 1459.20236, NO_PARENT
