Peer39
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 143.48209, Blk0
Blk1, 0, 143.98048, Blk0
Blk1, 0, 209.34307, Blk0
Blk1, 0, 221.43978, Blk0
Blk1, 0, 1070.42208, Blk0
Blk2, 0, 154.83584, Blk0
Blk2, 0, 155.33423, Blk0
Blk2, 0, 174.27803, Blk0
Blk2, 0, 1150.58004, Blk0
Blk3, 0, 148.99117, Blk0
Blk3, 0, 214.42390, Blk0
Blk3, 0, 1197.78540, Blk0
Blk4, 0, 96.80790, Blk0
Blk4, 0, 137.72435, Blk0
Blk4, 0, 138.22274, Blk0
Blk4, 0, 182.12088, Blk0
Blk4, 0, 1073.10990, Blk0
Blk5, 0, 145.44863, Blk0
Blk5, 0, 199.66519, Blk0
Blk5, 0, 210.88136, Blk0
Blk5, 0, 230.45830, Blk0
Blk5, 0, 1048.64749, Blk0
Blk6, 0, 197.92659, Blk0
Blk6, 0, 238.84304, Blk0
Blk6, 0, 239.34144, Blk0
Blk6, 0, 259.03495, Blk0
Blk6, 0, 1174.22860, Blk0
Blk7, 1, 150.36185, Blk1
Blk7, 1, 216.22283, Blk1
Blk7, 1, 228.31954, Blk1
Blk7, -1, 1077.30184, NO_PARENT
Blk8, 0, 91.74150, Blk0
Blk8, 0, 157.17423, Blk0
Blk8, 0, 176.75117, Blk0
Blk8, 0, 1050.75790, Blk0
Blk9, 0, 122.01178, Blk0
Blk9, 0, 144.11690, Blk0
Blk9, 0, 144.61529, Blk0
Blk9, 0, 183.12013, Blk0
Blk9, 0, 1098.31379, Blk0
Blk10, 0, 167.50617, Blk0
Blk10, 0, 168.00456, Blk0
Blk10, 0, 186.94836, Blk0
Blk10, 0, 1159.64284, Blk0
Blk11, 0, 131.30926, Blk0
Blk11, 0, 172.22571, Blk0
Blk11, 0, 172.72410, Blk0
Blk11, 0, 192.41761, Blk0
Blk11, 0, 1107.61126, Blk0
Blk12, 1, 203.39689, Blk6
Blk12, 1, 244.31334, Blk6
Blk12, 1, 264.50524, Blk6
Blk12, -1, 1179.69890, NO_PARENT
Blk13, 1, 160.32759, Blk3
Blk13, 1, 225.76032, Blk3
Blk13, -1, 1209.12182, NO_PARENT
Blk14, 0, 21.66014, Blk0
Blk15, 0, 141.21702, Blk0
Blk15, 0, 204.62831, Blk0
Blk15, 0, 206.64975, Blk0
Blk15, 0, 226.22669, Blk0
Blk15, 0, 1053.61061, Blk0
Blk16, 1, 106.51322, Blk8
Blk16, 1, 171.94595, Blk8
Blk16, 1, 191.52289, Blk8
Blk16, -1, 1065.52962, NO_PARENT
Blk17, 0, 172.47453, Blk0
Blk17, 0, 194.57966, Blk0
Blk17, 0, 195.07805, Blk0
Blk17, 0, 233.58289, Blk0
Blk17, 0, 1148.77654, Blk0
Blk18, 2, 215.18910, Blk12
Blk18, 2, 256.10555, Blk12
Blk18, 2, 276.29746, Blk12
Blk18, -1, 1191.49111, NO_PARENT
Blk19, 2, 108.58381, Blk16
Blk19, 2, 174.01654, Blk16
Blk19, 2, 193.59347, Blk16
Blk19, -1, 1067.60021, NO_PARENT
Blk20, 0, 123.79470, Blk0
Blk20, 0, 124.29309, Blk0
Blk20, 0, 143.23689, Blk0
Blk20, 0, 1115.93137, Blk0
Blk21, 0, 120.64444, Blk0
Blk21, 0, 121.14283, Blk0
Blk21, 0, 140.08663, Blk0
Blk21, 0, 1116.38864, Blk0
Blk22, 1, 185.90777, Blk10
Blk22, 1, 205.34996, Blk10
Blk22, -1, 1178.04444, NO_PARENT
Blk23, 2, 174.43347, Blk13
Blk23, 2, 239.86620, Blk13
Blk23, -1, 1223.22769, NO_PARENT
Blk24, 0, 125.18786, Blk0
Blk24, 0, 125.68626, Blk0
Blk24, 0, 144.63005, Blk0
Blk24, 0, 1117.32453, Blk0
