Peer18
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 168.82839, Blk0
Blk1, 0, 1916.07029, Blk0
Blk2, 0, 133.76335, Blk0
Blk2, 0, 1812.56596, Blk0
Blk3, 0, 81.29404, Blk0
Blk3, 0, 2013.83166, Blk0
Blk4, 0, 56.29322, Blk0
Blk4, 0, 1912.30801, Blk0
Blk5, 0, 120.51311, Blk0
Blk5, 0, 1991.41763, Blk0
Blk6, 0, 157.41192, Blk0
Blk6, 0, 2013.42671, Blk0
Blk7, 1, 175.70815, Blk1
Blk7, -1, 1922.95005, NO_PARENT
Blk8, 0, 136.23649, Blk0
Blk8, 0, 1978.17668, Blk0
Blk9, 0, 81.49710, Blk0
Blk9, 0, 1937.51189, Blk0
Blk10, 0, 9.55222, Blk0
Blk11, 0, 90.79458, Blk0
Blk11, 0, 1946.80937, Blk0
Blk12, 1, 162.88221, Blk6
Blk12, -1, 2018.89700, NO_PARENT
Blk13, 1, 92.63046, Blk3
Blk13, -1, 2025.16808, NO_PARENT
Blk14, 0, 84.68739, Blk0
Blk14, 0, 1940.70218, Blk0
Blk15, 0, 183.43764, Blk0
Blk15, 0, 2012.21817, Blk0
Blk16, 1, 151.00821, Blk8
Blk16, -1, 1992.94841, NO_PARENT
Blk17, 0, 131.95986, Blk0
Blk17, 0, 1660.15587, Blk0
Blk18, 2, 174.67443, Blk12
Blk18, -1, 2030.68922, NO_PARENT
Blk19, 2, 153.07880, Blk16
Blk19, -1, 1995.01899, NO_PARENT
Blk20, 0, 99.11469, Blk0
Blk20, 0, 381.77772, Blk0
Blk20, 0, 1898.37837, Blk0
Blk21, 0, 99.57195, Blk0
Blk21, 0, 1895.22811, Blk0
Blk22, 1, 27.95382, Blk10
Blk23, 2, 106.73634, Blk13
Blk23, -1, 2039.27395, NO_PARENT
Blk24, 0, 100.50785, Blk0
Blk24, 0, 383.17089, Blk0
Blk24, 0, 1899.77153, Blk0
Blk25, 1, 102.25189, Blk20
Blk25, 1, 384.91492, Blk20
Blk25, -1, 1901.51556, NO_PARENT
Blk26, 3, 179.19175, Blk18
Blk26, -1, 2035.20654, NO_PARENT
Blk27, 0, 93.70128, Blk0
Blk27, 0, 1949.71607, Blk0
Blk28, 0, 685.05624, Blk0
Blk28, 0, 1557.61102, Blk0
Blk29, 1, 103.20804, Blk21
Blk29, -1, 1898.86419, NO_PARENT
Blk30, 0, 170.95015, Blk0
Blk30, 0, 453.61319, Blk0
Blk30, 0, 1970.21383, Blk0
Blk31, 0, 257.43054, Blk0
Blk31, 0, 2034.17351, Blk0
Blk32, 0, 192.38609, Blk0
Blk32, 0, 1969.12906, Blk0
Blk33, 0, 220.83429, Blk0
Blk33, 0, 304.56928, Blk0
Blk33, 0, 1997.57726, Blk0
Blk34, 3, 162.16412, Blk19
Blk34, -1, 2004.10432, NO_PARENT
Blk35, 1, 222.48595, Blk33
Blk35, 1, 306.22095, Blk33
Blk35, -1, 1999.22893, NO_PARENT
Blk36, 4, 163.89515, Blk34
Blk36, -1, 2005.83534, NO_PARENT
Blk37, 1, 199.37397, Blk15
Blk37, -1, 2028.15450, NO_PARENT
Blk38, 1, 111.91459, Blk9
Blk38, -1, 1967.92938, NO_PARENT
Blk39, 1, 266.70413, Blk31
Blk39, -1, 2043.44710, NO_PARENT
Blk40, 5, 169.22973, Blk36
Blk40, -1, 2011.16992, NO_PARENT
Blk41, 2, 115.00406, Blk38
Blk41, -1, 1971.01885, NO_PARENT
Blk42, 2, 268.96145, Blk39
Blk42, -1, 2045.70442, NO_PARENT
Blk43, 3, 121.73117, Blk23
Blk43, -1, 2054.26879, NO_PARENT
Blk44, 2, 45.08039, Blk22
Blk45, 0, 285.31801, Blk0
Blk45, 0, 516.55638, Blk0
Blk45, 0, 2062.06099, Blk0
Blk46, 3, 118.53278, Blk41
Blk46, -1, 1974.54757, NO_PARENT
Blk47, 1, 110.02804, Blk27
Blk47, -1, 1966.04283, NO_PARENT
Blk48, 1, 154.77718, Blk17
Blk48, -1, 1682.97320, NO_PARENT
Blk49, 2, 120.34366, Blk25
Blk49, 2, 403.00670, Blk25
Blk49, -1, 1919.60734, NO_PARENT
Blk50, 0, 169.10986, Blk0
Blk50, 0, 2011.05005, Blk0
Blk51, 6, 177.10784, Blk40
Blk51, -1, 2019.04803, NO_PARENT
Blk52, 3, 276.68201, Blk42
Blk52, -1, 2053.42498, NO_PARENT
Blk53, 1, 191.04710, Blk30
Blk53, 1, 473.71014, Blk30
Blk53, -1, 1990.31078, NO_PARENT
Blk54, 2, 160.92453, Blk48
Blk54, -1, 1689.12054, NO_PARENT
Blk55, 3, 128.60760, Blk49
Blk55, 3, 411.27064, Blk49
Blk55, -1, 1927.87128, NO_PARENT
Blk56, 2, 120.18758, Blk47
Blk56, -1, 1976.20237, NO_PARENT
Blk57, 0, 217.94786, Blk0
Blk57, 0, 2046.72840, Blk0
Blk58, 0, 204.14898, Blk0
Blk58, 0, 2136.68660, Blk0
Blk59, 7, 185.17809, Blk51
Blk59, -1, 2027.11828, NO_PARENT
Blk60, 4, 130.68700, Blk55
Blk60, 4, 413.35004, Blk55
Blk60, -1, 1929.95068, NO_PARENT
Blk61, 1, 206.30725, Blk58
Blk61, -1, 2138.84487, NO_PARENT
Blk62, 3, 167.52377, Blk54
Blk63, 1, 715.54695, Blk28
Blk63, -1, 1588.10173, NO_PARENT
Blk64, 4, 211.43785, Blk26
Blk64, -1, 2067.45264, NO_PARENT
Blk65, 5, 135.20589, Blk60
Blk65, 5, 417.86892, Blk60
Blk65, -1, 1934.46957, NO_PARENT
Blk66, 5, 212.87503, Blk64
Blk66, -1, 2068.88982, NO_PARENT
Blk67, 4, 141.25062, Blk43
Blk67, -1, 2073.78823, NO_PARENT
Blk68, 3, 127.93336, Blk56
Blk68, -1, 1983.94815, NO_PARENT
Blk69, 2, 231.50010, Blk7
Blk70, 6, 136.94306, Blk65
Blk70, 6, 419.60609, Blk65
Blk70, -1, 1936.20674, NO_PARENT
Blk71, 1, 127.92211, Blk14
Blk71, -1, 1983.93690, NO_PARENT
Blk72, 0, 139.70399, Blk0
Blk72, 0, 2072.24161, Blk0
Blk73, 5, 142.58960, Blk67
Blk73, -1, 2075.12722, NO_PARENT
Blk74, 6, 142.79405, Blk73
Blk74, -1, 2075.33167, NO_PARENT
Blk75, 0, 194.54619, Blk0
Blk75, 0, 2017.95413, Blk0
Blk76, 4, 291.22072, Blk52
Blk76, -1, 2067.96369, NO_PARENT
Blk77, 8, 195.59270, Blk59
Blk77, -1, 2037.53290, NO_PARENT
Blk78, 1, 229.51494, Blk57
Blk78, -1, 2058.29548, NO_PARENT
Blk79, 4, 134.93782, Blk68
Blk79, -1, 1990.95261, NO_PARENT
Blk80, 5, 296.78487, Blk76
Blk80, -1, 2073.52784, NO_PARENT
Blk81, 6, 223.09216, Blk66
Blk81, -1, 2079.10695, NO_PARENT
Blk82, 2, 242.21345, Blk7
Blk82, -1, 1989.45535, NO_PARENT
Blk83, 7, 149.49675, Blk70
Blk83, 7, 432.15978, Blk70
Blk83, -1, 1948.76042, NO_PARENT
Blk84, 6, 302.50961, Blk80
Blk84, -1, 2079.25258, NO_PARENT
Blk85, 2, 149.31455, Blk29
Blk85, -1, 1944.97070, NO_PARENT
Blk86, 1, 153.05559, Blk72
Blk86, -1, 2085.59321, NO_PARENT
Blk87, 3, 185.87269, Blk54
Blk87, -1, 1714.06871, NO_PARENT
Blk88, 1, 191.62910, Blk5
Blk88, -1, 2062.53361, NO_PARENT
Blk89, 2, 142.81799, Blk71
Blk89, -1, 1998.83278, NO_PARENT
Blk90, 7, 158.83631, Blk74
Blk90, -1, 2091.37392, NO_PARENT
Blk91, 1, 210.75756, Blk75
Blk91, -1, 2034.16551, NO_PARENT
Blk92, 2, 270.01000, Blk35
Blk92, 2, 353.74500, Blk35
Blk92, -1, 2046.75298, NO_PARENT
Blk93, 7, 233.52092, Blk81
Blk93, -1, 2089.53571, NO_PARENT
Blk94, 5, 148.76336, Blk79
Blk94, -1, 2004.77815, NO_PARENT
Blk95, 2, 160.22394, Blk86
Blk95, -1, 2092.76156, NO_PARENT
Blk96, 1, 219.21989, Blk2
Blk96, -1, 1898.02249, NO_PARENT
Blk97, 6, 151.83888, Blk94
Blk97, -1, 2007.85367, NO_PARENT
Blk98, 3, 164.28139, Blk95
Blk98, -1, 2096.81901, NO_PARENT
Blk99, 2, 744.04377, Blk63
Blk99, -1, 1616.59855, NO_PARENT
Blk100, 0, 203.57009, Blk0
Blk100, 0, 2045.51028, Blk0

