Peer7
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 136.43751, Blk0
Blk1, 0, 169.23853, Blk0
Blk1, 0, 230.87164, Blk0
Blk2, 0, 101.37247, Blk0
Blk2, 0, 134.17349, Blk0
Blk2, 0, 195.80660, Blk0
Blk3, 0, 143.33729, Blk0
Blk3, 0, 205.92358, Blk0
Blk4, 0, 56.70336, Blk0
Blk4, 0, 84.26098, Blk0
Blk4, 0, 118.33646, Blk0
Blk5, 0, 120.92325, Blk0
Blk5, 0, 182.55636, Blk0
Blk6, 0, 157.82206, Blk0
Blk6, 0, 175.07610, Blk0
Blk6, 0, 185.37967, Blk0
Blk6, 0, 219.45516, Blk0
Blk7, 1, 143.31727, Blk1
Blk7, 1, 176.11829, Blk1
Blk7, -1, 237.75140, NO_PARENT
Blk8, 0, 136.64663, Blk0
Blk8, 0, 150.12965, Blk0
Blk8, 0, 198.27973, Blk0
Blk8, 0, 247.45897, Blk0
Blk9, 0, 81.90724, Blk0
Blk9, 0, 109.46486, Blk0
Blk9, 0, 143.54034, Blk0
Blk10, 0, 71.59546, Blk0
Blk11, 0, 91.20472, Blk0
Blk11, 0, 108.45876, Blk0
Blk11, 0, 118.76234, Blk0
Blk11, 0, 152.83782, Blk0
Blk12, 1, 163.29235, Blk6
Blk12, 1, 180.54639, Blk6
Blk12, 1, 190.84997, Blk6
Blk12, -1, 224.92545, NO_PARENT
Blk13, 1, 154.67371, Blk3
Blk13, -1, 217.26000, NO_PARENT
Blk14, 0, 85.09752, Blk0
Blk14, 0, 112.65514, Blk0
Blk14, 0, 146.73063, Blk0
Blk15, 0, 152.50429, Blk0
Blk15, 0, 183.84778, Blk0
Blk15, 0, 245.48088, Blk0
Blk16, 1, 151.41835, Blk8
Blk16, 1, 213.05146, Blk8
Blk16, -1, 262.23069, NO_PARENT
Blk17, 0, 132.37000, Blk0
Blk17, 0, 159.92761, Blk0
Blk17, 0, 194.00310, Blk0
Blk18, 2, 175.08457, Blk12
Blk18, 2, 192.33861, Blk12
Blk18, -1, 236.71767, NO_PARENT
Blk19, 2, 153.48894, Blk16
Blk19, 2, 215.12204, Blk16
Blk19, -1, 264.30127, NO_PARENT
Blk20, 0, 27.88399, Blk0
Blk21, 0, 67.18107, Blk0
Blk21, 0, 99.98209, Blk0
Blk21, 0, 161.61520, Blk0
Blk22, -1, 89.99706, NO_PARENT
Blk23, 2, 168.77958, Blk13
Blk23, -1, 231.36588, NO_PARENT
Blk24, 0, 29.27715, Blk0
Blk25, -1, 31.02119, NO_PARENT
Blk26, 3, 179.60189, Blk18
Blk26, 3, 196.85593, Blk18
Blk26, -1, 241.23500, NO_PARENT
Blk27, 0, 94.11142, Blk0
Blk27, 0, 111.36546, Blk0
Blk27, 0, 121.66903, Blk0
Blk27, 0, 155.74452, Blk0
Blk28, 0, 685.46638, Blk0
Blk28, 0, 713.02400, Blk0
Blk28, 0, 747.09948, Blk0
Blk29, 1, 70.81716, Blk21
Blk29, 1, 103.61818, Blk21
Blk29, -1, 165.25128, NO_PARENT
Blk30, 0, 99.71945, Blk0
