Peer16
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 29.77443, Blk0
Blk2, 0, 102.79483, Blk0
Blk2, 0, 127.77026, Blk0
Blk3, 0, 162.38289, Blk0
Blk3, 0, 187.35831, Blk0
Blk3, 0, 250.20919, Blk0
Blk4, 0, 85.68333, Blk0
Blk4, 0, 110.65876, Blk0
Blk4, 0, 225.20837, Blk0
Blk5, 0, 120.95920, Blk0
Blk5, 0, 183.81577, Blk0
Blk6, 0, 186.80203, Blk0
Blk6, 0, 211.77746, Blk0
Blk6, 0, 326.32707, Blk0
Blk7, -1, 36.65419, NO_PARENT
Blk8, 0, 105.13322, Blk0
Blk8, 0, 123.06961, Blk0
Blk8, 0, 130.10864, Blk0
Blk8, 0, 359.35101, Blk0
Blk9, 0, 92.07589, Blk0
Blk9, 0, 117.05131, Blk0
Blk9, 0, 250.41225, Blk0
Blk10, 0, 115.46516, Blk0
Blk10, 0, 140.44058, Blk0
Blk10, 0, 178.46737, Blk0
Blk11, 0, 120.18469, Blk0
Blk11, 0, 145.16012, Blk0
Blk11, 0, 259.70973, Blk0
Blk12, 1, 192.27232, Blk6
Blk12, 1, 217.24775, Blk6
Blk12, -1, 331.79736, NO_PARENT
Blk13, 1, 173.71931, Blk3
Blk13, 1, 198.69473, Blk3
Blk13, -1, 261.54561, NO_PARENT
Blk14, 0, 84.44470, Blk0
Blk14, 0, 109.42012, Blk0
Blk15, 0, 125.92231, Blk0
Blk15, 0, 179.58417, Blk0
Blk16, 1, 119.90494, Blk8
Blk16, 1, 137.84133, Blk8
Blk16, -1, 374.12273, NO_PARENT
Blk17, 0, 142.53864, Blk0
Blk17, 0, 167.51407, Blk0
Blk17, 0, 300.87501, Blk0
Blk18, 2, 204.06454, Blk12
Blk18, 2, 229.03997, Blk12
Blk18, -1, 343.58958, NO_PARENT
Blk19, 2, 121.97552, Blk16
Blk19, 2, 139.91192, Blk16
Blk19, -1, 376.19331, NO_PARENT
Blk20, 0, 71.75369, Blk0
Blk20, 0, 96.72912, Blk0
Blk21, 0, 68.60343, Blk0
Blk21, 0, 93.57886, Blk0
Blk22, 1, 133.86676, Blk10
Blk22, 1, 158.84219, Blk10
Blk22, -1, 196.86897, NO_PARENT
Blk23, 2, 187.82518, Blk13
Blk23, -1, 275.65149, NO_PARENT
Blk24, 0, 73.14685, Blk0
Blk24, 0, 98.12228, Blk0
Blk25, 1, 74.89089, Blk20
Blk25, -1, 99.86631, NO_PARENT
Blk26, 3, 208.58187, Blk18
Blk26, 3, 233.55729, Blk18
Blk26, -1, 348.10690, NO_PARENT
Blk27, 0, 123.09139, Blk0
Blk27, 0, 148.06682, Blk0
Blk27, 0, 262.61643, Blk0
Blk28, 0, 695.63502, Blk0
Blk28, 0, 720.61045, Blk0
Blk28, 0, 853.97139, Blk0
Blk29, 1, 72.23951, Blk21
Blk29, -1, 97.21494, NO_PARENT
