Peer24
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 75.85756, Blk0
Blk1, 0, 2179.94788, Blk0
Blk1, 0, 2224.05769, Blk0
Blk1, 0, 2253.07759, Blk0
Blk2, 0, 156.01552, Blk0
Blk2, 0, 261.50190, Blk0
Blk2, 0, 2191.30164, Blk0
Blk2, 0, 2194.38445, Blk0
Blk2, 0, 2235.41144, Blk0
Blk3, 0, 203.22088, Blk0
Blk3, 0, 255.65723, Blk0
Blk3, 0, 2165.54324, Blk0
Blk3, 0, 2184.95857, Blk0
Blk3, 0, 2229.56677, Blk0
Blk4, 0, 78.54539, Blk0
Blk4, 0, 185.69518, Blk0
Blk4, 0, 2140.54242, Blk0
Blk4, 0, 2174.19014, Blk0
Blk4, 0, 2177.38350, Blk0
Blk5, 0, 54.08297, Blk0
Blk5, 0, 2181.41603, Blk0
Blk5, 0, 2204.76231, Blk0
Blk5, 0, 2226.02423, Blk0
Blk6, 0, 179.66409, Blk0
Blk6, 0, 262.60925, Blk0
Blk6, 0, 2241.66112, Blk0
Blk6, 0, 2275.30884, Blk0
Blk6, 0, 2278.50219, Blk0
Blk7, 1, 82.73732, Blk1
Blk7, 1, 2186.82764, Blk1
Blk7, 1, 2230.93745, Blk1
Blk7, -1, 2259.95735, NO_PARENT
Blk8, 0, 56.19339, Blk0
Blk8, 0, 198.40756, Blk0
Blk8, 0, 2127.70890, Blk0
Blk8, 0, 2172.31710, Blk0
Blk8, 0, 2220.48569, Blk0
Blk9, 0, 103.74927, Blk0
Blk9, 0, 186.69443, Blk0
Blk9, 0, 2165.74630, Blk0
Blk9, 0, 2180.58269, Blk0
Blk9, 0, 2202.58738, Blk0
Blk10, 0, 165.07832, Blk0
Blk10, 0, 274.17223, Blk0
Blk10, 0, 2131.39553, Blk0
Blk10, 0, 2203.97196, Blk0
Blk10, 0, 2248.08177, Blk0
Blk11, 0, 113.04675, Blk0
Blk11, 0, 195.99191, Blk0
Blk11, 0, 2175.04378, Blk0
Blk11, 0, 2208.69150, Blk0
Blk11, 0, 2211.88486, Blk0
Blk12, 1, 185.13438, Blk6
Blk12, 1, 268.07954, Blk6
Blk12, 1, 2247.13141, Blk6
Blk12, -1, 2280.77913, NO_PARENT
Blk13, 1, 214.55730, Blk3
Blk13, 1, 266.99365, Blk3
Blk13, 1, 2176.87966, Blk3
Blk13, 1, 2196.29499, Blk3
Blk13, -1, 2240.90319, NO_PARENT
Blk14, 0, 106.93956, Blk0
Blk14, 0, 128.32620, Blk0
Blk14, 0, 2102.23575, Blk0
Blk14, 0, 2168.93659, Blk0
Blk14, 0, 2172.95150, Blk0
Blk15, 0, 59.04609, Blk0
Blk15, 0, 2177.18442, Blk0
Blk15, 0, 2221.79262, Blk0
Blk15, 0, 2267.68684, Blk0
Blk16, 1, 70.96511, Blk8
Blk16, 1, 213.17928, Blk8
Blk16, 1, 2142.48062, Blk8
Blk16, 1, 2187.08882, Blk8
Blk16, -1, 2235.25741, NO_PARENT
Blk17, 0, 154.21203, Blk0
Blk17, 0, 237.15719, Blk0
Blk17, 0, 2216.20906, Blk0
Blk17, 0, 2231.04545, Blk0
Blk17, 0, 2253.05013, Blk0
Blk18, 2, 196.92660, Blk12
Blk18, 2, 279.87176, Blk12
Blk18, 2, 2258.92363, Blk12
Blk18, -1, 2292.57135, NO_PARENT
Blk19, 2, 73.03569, Blk16
Blk19, 2, 215.24986, Blk16
Blk19, 2, 2144.55121, Blk16
Blk19, 2, 2189.15941, Blk16
Blk19, -1, 2237.32800, NO_PARENT
Blk20, 0, 121.36686, Blk0
Blk20, 0, 230.46076, Blk0
Blk20, 0, 2160.26050, Blk0
Blk20, 0, 2183.36389, Blk0
Blk20, 0, 2204.37030, Blk0
Blk21, 0, 121.82412, Blk0
Blk21, 0, 227.31050, Blk0
Blk21, 0, 2157.11024, Blk0
Blk21, 0, 2183.82115, Blk0
Blk21, 0, 2201.22004, Blk0
Blk22, 1, 183.47993, Blk10
Blk22, 1, 292.57383, Blk10
Blk22, 1, 2149.79713, Blk10
Blk22, 1, 2222.37357, Blk10
Blk22, -1, 2266.48338, NO_PARENT
Blk23, 2, 228.66318, Blk13
Blk23, 2, 281.09952, Blk13
Blk23, 2, 2190.98554, Blk13
Blk23, -1, 2255.00907, NO_PARENT
Blk24, 0, 122.76002, Blk0
Blk24, 0, 231.85392, Blk0
Blk24, 0, 2161.65366, Blk0
Blk24, 0, 2184.75705, Blk0
Blk24, 0, 2205.76347, Blk0
Blk25, 1, 124.50405, Blk20
Blk25, 1, 233.59796, Blk20
Blk25, 1, 2163.39769, Blk20
Blk25, 1, 2186.50108, Blk20
Blk25, -1, 2207.50750, NO_PARENT
Blk26, 3, 201.44392, Blk18
Blk26, 3, 284.38908, Blk18
Blk26, 3, 2263.44095, Blk18
Blk26, -1, 2297.08867, NO_PARENT
Blk27, 0, 115.95345, Blk0
Blk27, 0, 198.89861, Blk0
Blk27, 0, 2177.95048, Blk0
Blk27, 0, 2211.59820, Blk0
Blk27, 0, 2214.79156, Blk0
Blk28, 0, 707.30841, Blk0
Blk28, 0, 790.25357, Blk0
Blk28, 0, 2769.30544, Blk0
Blk28, 0, 2784.14183, Blk0
Blk28, 0, 2806.14652, Blk0
Blk29, 1, 125.46021, Blk21
Blk29, 1, 230.94658, Blk21
Blk29, 1, 2160.74632, Blk21
Blk29, 1, 2187.45724, Blk21
Blk29, -1, 2204.85613, NO_PARENT
Blk30, 0, 72.52299, Blk0
Blk30, 0, 2199.85605, Blk0
Blk30, 0, 2244.46425, Blk0
Blk30, 0, 2255.19935, Blk0
Blk31, 0, 193.96078, Blk0
Blk31, 0, 338.75029, Blk0
Blk31, 0, 2268.55003, Blk0
Blk31, 0, 2312.65984, Blk0
Blk31, 0, 2341.67974, Blk0
Blk32, 0, 114.28401, Blk0
Blk32, 0, 256.49818, Blk0
Blk32, 0, 2185.79952, Blk0
Blk32, 0, 2230.40772, Blk0
Blk32, 0, 2276.63529, Blk0
Blk33, 0, 142.73222, Blk0
Blk33, 0, 284.94638, Blk0
Blk33, 0, 2214.24773, Blk0
Blk33, 0, 2258.85593, Blk0
Blk33, 0, 2305.08349, Blk0
Blk34, 3, 82.12102, Blk19
Blk34, 3, 224.33519, Blk19
Blk34, 3, 2153.63653, Blk19
Blk34, 3, 2198.24473, Blk19
Blk34, -1, 2246.41332, NO_PARENT
Blk35, 1, 144.38388, Blk33
Blk35, 1, 286.59805, Blk33
Blk35, 1, 2215.89939, Blk33
Blk35, 1, 2260.50759, Blk33
Blk35, -1, 2306.73515, NO_PARENT
Blk36, 4, 83.85204, Blk34
Blk36, 4, 226.06621, Blk34
Blk36, 4, 2155.36756, Blk34
Blk36, 4, 2199.97576, Blk34
Blk36, -1, 2248.14435, NO_PARENT
Blk37, 1, 74.98242, Blk15
Blk37, 1, 2193.12075, Blk15
Blk37, 1, 2237.72895, Blk15
Blk37, -1, 2283.62317, NO_PARENT
Blk38, 1, 134.16676, Blk9
Blk38, 1, 217.11192, Blk9
Blk38, 1, 2196.16379, Blk9
Blk38, -1, 2211.00018, NO_PARENT
Blk39, 1, 203.23437, Blk31
Blk39, 1, 348.02388, Blk31
Blk39, 1, 2277.82362, Blk31
Blk39, 1, 2321.93343, Blk31
Blk39, -1, 2350.95333, NO_PARENT
Blk40, 5, 89.18662, Blk36
Blk40, 5, 231.40079, Blk36
Blk40, 5, 2160.70214, Blk36
Blk40, 5, 2205.31034, Blk36
Blk40, -1, 2253.47893, NO_PARENT
Blk41, 2, 137.25623, Blk38
Blk41, 2, 220.20139, Blk38
Blk41, 2, 2199.25326, Blk38
Blk41, -1, 2214.08965, NO_PARENT
Blk42, 2, 205.49169, Blk39
Blk42, 2, 350.28120, Blk39
Blk42, 2, 2280.08094, Blk39
Blk42, 2, 2324.19075, Blk39
Blk42, -1, 2353.21065, NO_PARENT
Blk43, 3, 243.65801, Blk23
Blk43, 3, 296.09435, Blk23
Blk43, 3, 2205.98037, Blk23
Blk43, -1, 2270.00390, NO_PARENT
Blk44, 2, 200.60650, Blk22
Blk44, 2, 309.70040, Blk22
Blk44, 2, 2166.92370, Blk22
Blk44, 2, 2239.50014, Blk22
Blk44, -1, 2283.60995, NO_PARENT
Blk45, 0, 221.84826, Blk0
Blk45, 0, 366.63777, Blk0
Blk45, 0, 2296.43750, Blk0
Blk45, 0, 2340.54731, Blk0
Blk45, 0, 2369.56721, Blk0
Blk46, 3, 140.78495, Blk41
Blk46, 3, 223.73011, Blk41
Blk46, -1, 2202.78198, NO_PARENT
Blk47, 1, 132.28021, Blk27
Blk47, 1, 215.22537, Blk27
Blk47, 1, 2194.27724, Blk27
Blk47, -1, 2227.92496, NO_PARENT
