Peer37
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 97.16843, Blk0
Blk1, 0, 107.21796, Blk0
Blk1, 0, 272.99274, Blk0
Blk2, 0, 62.10339, Blk0
Blk3, 0, 146.51554, Blk0
Blk3, 0, 168.11024, Blk0
Blk3, 0, 200.71709, Blk0
Blk4, 0, 44.99190, Blk0
Blk4, 0, 59.88162, Blk0
Blk4, 0, 220.62447, Blk0
Blk5, 0, 124.10151, Blk0
Blk5, 0, 164.56770, Blk0
Blk5, 0, 178.64230, Blk0
Blk5, 0, 196.16206, Blk0
Blk6, 0, 146.11059, Blk0
Blk6, 0, 161.00032, Blk0
Blk6, 0, 321.74317, Blk0
Blk7, 1, 104.04819, Blk1
Blk7, 1, 114.09772, Blk1
Blk7, -1, 279.87250, NO_PARENT
Blk8, 0, 110.86057, Blk0
Blk8, 0, 124.93517, Blk0
Blk8, 0, 139.82489, Blk0
Blk8, 0, 253.32857, Blk0
Blk9, 0, 70.19578, Blk0
Blk9, 0, 85.08550, Blk0
Blk9, 0, 97.80324, Blk0
Blk9, 0, 245.82836, Blk0
Blk10, 0, 74.77372, Blk0
Blk11, 0, 79.49326, Blk0
Blk11, 0, 94.38298, Blk0
Blk11, 0, 255.12583, Blk0
Blk12, 1, 151.58089, Blk6
Blk12, 1, 166.47061, Blk6
Blk12, -1, 327.21346, NO_PARENT
Blk13, 1, 157.85196, Blk3
Blk13, 1, 179.44666, Blk3
Blk13, -1, 212.05351, NO_PARENT
Blk14, 0, 73.38606, Blk0
Blk14, 0, 88.27578, Blk0
Blk14, 0, 90.17205, Blk0
Blk14, 0, 249.01864, Blk0
Blk15, 0, 155.68255, Blk0
Blk15, 0, 160.33609, Blk0
Blk15, 0, 174.41069, Blk0
Blk15, 0, 203.36585, Blk0
Blk15, 0, 256.18127, Blk0
Blk16, 1, 125.63229, Blk8
Blk16, 1, 154.59661, Blk8
Blk16, -1, 268.10029, NO_PARENT
Blk17, 0, 120.65853, Blk0
Blk17, 0, 135.54826, Blk0
Blk17, 0, 148.26600, Blk0
Blk17, 0, 296.29111, Blk0
Blk18, 2, 163.37310, Blk12
Blk18, -1, 339.00568, NO_PARENT
Blk19, 2, 127.70288, Blk16
Blk19, 2, 141.77747, Blk16
Blk19, -1, 270.17088, NO_PARENT
Blk20, 0, 31.06225, Blk0
Blk21, 0, 27.91199, Blk0
Blk22, -1, 93.17532, NO_PARENT
Blk23, 2, 171.95784, Blk13
Blk23, -1, 226.15938, NO_PARENT
Blk24, 0, 32.45541, Blk0
Blk25, -1, 34.19945, NO_PARENT
Blk26, 3, 167.89043, Blk18
Blk26, -1, 343.52301, NO_PARENT
Blk27, 0, 82.39995, Blk0
Blk27, 0, 97.28968, Blk0
Blk27, 0, 258.03253, Blk0
Blk28, 0, 673.75492, Blk0
Blk28, 0, 688.64464, Blk0
Blk28, 0, 701.36238, Blk0
Blk28, 0, 849.38749, Blk0
Blk29, 1, 31.54808, Blk21
Blk30, 0, 102.89771, Blk0
Blk30, 0, 203.39643, Blk0
Blk31, 0, 185.77057, Blk0
Blk31, 0, 225.32118, Blk0
Blk31, 0, 391.09596, Blk0
Blk32, 0, 120.72612, Blk0
Blk32, 0, 160.27673, Blk0
Blk32, 0, 311.41919, Blk0
Blk33, 0, 149.17433, Blk0
Blk33, 0, 188.72494, Blk0
Blk33, 0, 339.86740, Blk0
Blk34, 3, 136.78820, Blk19
Blk34, 3, 150.86280, Blk19
Blk34, -1, 279.25620, NO_PARENT
Blk35, 1, 150.82599, Blk33
Blk35, 1, 190.37660, Blk33
Blk35, -1, 341.51906, NO_PARENT
Blk36, 4, 138.51923, Blk34
Blk36, 4, 152.59382, Blk34
Blk36, -1, 280.98723, NO_PARENT
Blk37, 1, 171.61888, Blk15
Blk37, 1, 176.27242, Blk15
Blk37, 1, 219.30218, Blk15
Blk37, -1, 272.11760, NO_PARENT
Blk38, 1, 100.61326, Blk9
Blk38, -1, 276.24584, NO_PARENT
Blk39, 1, 195.04417, Blk31
Blk39, 1, 234.59478, Blk31
Blk39, -1, 400.36955, NO_PARENT
Blk40, 5, 143.85380, Blk36
Blk40, -1, 286.32180, NO_PARENT
Blk41, 2, 103.70274, Blk38
Blk41, -1, 279.33532, NO_PARENT
Blk42, 2, 197.30149, Blk39
Blk42, 2, 236.85210, Blk39
Blk42, -1, 402.62687, NO_PARENT
Blk43, 3, 186.95267, Blk23
Blk43, -1, 208.54737, NO_PARENT
