Peer26
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 165.62002, Blk0
Blk1, 0, 170.39008, Blk0
Blk1, 0, 217.02684, Blk0
Blk1, 0, 315.45415, Blk0
Blk2, 0, 137.40406, Blk0
Blk2, 0, 176.97377, Blk0
Blk2, 0, 211.94982, Blk0
Blk2, 0, 253.51466, Blk0
Blk3, 0, 212.60433, Blk0
Blk3, 0, 236.56182, Blk0
Blk3, 0, 247.66999, Blk0
Blk3, 0, 413.21552, Blk0
Blk4, 0, 59.93393, Blk0
Blk4, 0, 159.86227, Blk0
Blk4, 0, 177.70794, Blk0
Blk4, 0, 311.69187, Blk0
Blk5, 0, 169.37970, Blk0
Blk5, 0, 195.25225, Blk0
Blk5, 0, 233.01929, Blk0
Blk5, 0, 390.80149, Blk0
Blk6, 0, 136.84800, Blk0
Blk6, 0, 254.62201, Blk0
Blk6, 0, 260.98097, Blk0
Blk6, 0, 412.81057, Blk0
Blk7, 1, 172.49978, Blk1
Blk7, 1, 223.90660, Blk1
Blk7, -1, 322.33391, NO_PARENT
Blk8, 0, 115.67257, Blk0
Blk8, 0, 179.31215, Blk0
Blk8, 0, 190.42032, Blk0
Blk8, 0, 377.56055, Blk0
Blk9, 0, 9.07698, Blk0
Blk10, 0, 150.07439, Blk0
Blk10, 0, 189.64409, Blk0
Blk10, 0, 266.18499, Blk0
Blk10, 0, 341.47369, Blk0
Blk11, 0, 70.23066, Blk0
Blk11, 0, 188.00467, Blk0
Blk11, 0, 194.36363, Blk0
Blk11, 0, 346.19323, Blk0
Blk12, 1, 142.31829, Blk6
Blk12, 1, 260.09230, Blk6
Blk12, 1, 266.45126, Blk6
Blk12, -1, 418.28086, NO_PARENT
Blk13, 1, 223.94075, Blk3
Blk13, 1, 247.89824, Blk3
Blk13, -1, 424.55194, NO_PARENT
Blk14, 0, 88.32809, Blk0
Blk14, 0, 120.33896, Blk0
Blk14, 0, 158.62363, Blk0
Blk14, 0, 340.08604, Blk0
Blk15, 0, 165.14809, Blk0
Blk15, 0, 200.21537, Blk0
Blk15, 0, 228.78768, Blk0
Blk15, 0, 411.60204, Blk0
Blk16, 1, 130.44429, Blk8
Blk16, 1, 194.08388, Blk8
Blk16, -1, 392.33227, NO_PARENT
Blk17, 0, 59.53973, Blk0
Blk17, 0, 229.16995, Blk0
Blk18, 2, 154.11050, Blk12
Blk18, 2, 271.88452, Blk12
Blk18, -1, 430.07308, NO_PARENT
Blk19, 2, 132.51487, Blk16
Blk19, 2, 196.15446, Blk16
Blk19, -1, 394.40285, NO_PARENT
Blk20, 0, 106.36292, Blk0
Blk20, 0, 145.93263, Blk0
Blk20, 0, 222.47352, Blk0
Blk20, 0, 297.76223, Blk0
Blk21, 0, 103.21266, Blk0
Blk21, 0, 142.78237, Blk0
Blk21, 0, 219.32326, Blk0
Blk21, 0, 294.61197, Blk0
Blk22, 1, 168.47599, Blk10
Blk22, 1, 208.04570, Blk10
Blk22, 1, 284.58659, Blk10
Blk22, -1, 359.87530, NO_PARENT
Blk23, 2, 238.04662, Blk13
Blk23, -1, 438.65782, NO_PARENT
Blk24, 0, 107.75608, Blk0
Blk24, 0, 147.32579, Blk0
Blk24, 0, 223.86668, Blk0
Blk24, 0, 299.15539, Blk0
Blk25, 1, 109.50012, Blk20
Blk25, 1, 149.06982, Blk20
Blk25, 1, 225.61072, Blk20
Blk25, -1, 300.89943, NO_PARENT
Blk26, 3, 158.62783, Blk18
Blk26, 3, 276.40184, Blk18
Blk26, -1, 434.59040, NO_PARENT
Blk27, 0, 73.13736, Blk0
Blk27, 0, 190.91137, Blk0
Blk27, 0, 197.27033, Blk0
Blk27, 0, 349.09993, Blk0
Blk28, 0, 612.63612, Blk0
Blk28, 0, 782.26633, Blk0
Blk29, 1, 106.84875, Blk21
Blk29, 1, 146.41845, Blk21
Blk29, 1, 222.95934, Blk21
Blk29, -1, 298.24805, NO_PARENT
Blk30, 0, 178.19838, Blk0
Blk30, 0, 213.69227, Blk0
Blk30, 0, 217.76809, Blk0
Blk30, 0, 369.59769, Blk0
Blk31, 0, 254.22216, Blk0
Blk31, 0, 258.99222, Blk0
Blk31, 0, 330.76305, Blk0
Blk31, 0, 433.55737, Blk0
Blk32, 0, 173.76319, Blk0
Blk32, 0, 189.17771, Blk0
Blk32, 0, 248.51094, Blk0
Blk32, 0, 368.51292, Blk0
Blk33, 0, 202.21140, Blk0
Blk33, 0, 217.62591, Blk0
Blk33, 0, 276.95915, Blk0
Blk33, 0, 396.96112, Blk0
Blk34, 3, 141.60020, Blk19
Blk34, 3, 205.23979, Blk19
Blk34, -1, 403.48818, NO_PARENT
Blk35, 1, 203.86306, Blk33
Blk35, 1, 219.27758, Blk33
Blk35, 1, 278.61081, Blk33
Blk35, -1, 398.61279, NO_PARENT
Blk36, 4, 143.33123, Blk34
Blk36, 4, 206.97081, Blk34
Blk36, -1, 405.21920, NO_PARENT
Blk37, 1, 181.08442, Blk15
Blk37, 1, 216.15170, Blk15
Blk37, 1, 244.72401, Blk15
Blk37, -1, 427.53837, NO_PARENT
Blk38, 1, 39.49446, Blk9
Blk39, 1, 263.49575, Blk31
Blk39, 1, 340.03664, Blk31
Blk39, -1, 442.83096, NO_PARENT
Blk40, 5, 148.66580, Blk36
Blk40, 5, 212.30539, Blk36
Blk40, -1, 410.55378, NO_PARENT
Blk41, 2, 42.58394, Blk38
Blk42, 2, 265.75307, Blk39
Blk42, 2, 342.29396, Blk39
Blk42, -1, 445.08828, NO_PARENT
Blk43, 3, 253.04145, Blk23
Blk43, -1, 453.65265, NO_PARENT
Blk44, 2, 185.60256, Blk22
Blk44, 2, 225.17227, Blk22
Blk44, 2, 301.71316, Blk22
Blk44, -1, 377.00187, NO_PARENT
Blk45, 0, 282.10964, Blk0
Blk45, 0, 286.87970, Blk0
Blk45, 0, 358.65053, Blk0
Blk45, 0, 461.44485, Blk0
Blk46, 3, 46.11266, Blk41
Blk47, 1, 89.46412, Blk27
Blk47, 1, 207.23813, Blk27
Blk47, -1, 365.42669, NO_PARENT
Blk48, 1, 82.35706, Blk17
Blk48, -1, 251.98727, NO_PARENT
Blk49, 2, 127.59190, Blk25
Blk49, 2, 167.16160, Blk25
Blk49, 2, 243.70249, Blk25
Blk49, -1, 318.99120, NO_PARENT
Blk50, 0, 148.54594, Blk0
Blk50, 0, 212.18552, Blk0
Blk50, 0, 223.29369, Blk0
Blk50, 0, 410.43392, Blk0
Blk51, 6, 156.54392, Blk40
Blk51, 6, 220.18350, Blk40
Blk51, -1, 418.43190, NO_PARENT
Blk52, 3, 273.47363, Blk42
Blk52, 3, 350.01453, Blk42
Blk52, -1, 452.80884, NO_PARENT
Blk53, 1, 198.29533, Blk30
Blk53, 1, 233.78922, Blk30
Blk53, -1, 389.69464, NO_PARENT
Blk54, 2, 88.50440, Blk48
Blk54, -1, 258.13462, NO_PARENT
Blk55, 3, 135.85584, Blk49
Blk55, 3, 175.42554, Blk49
Blk55, 3, 251.96644, Blk49
Blk55, -1, 327.25514, NO_PARENT
Blk56, 2, 99.62365, Blk47
Blk56, 2, 217.39767, Blk47
Blk56, -1, 375.58623, NO_PARENT
Blk57, 0, 197.61579, Blk0
Blk57, 0, 208.85304, Blk0
Blk57, 0, 272.49263, Blk0
Blk57, 0, 446.11226, Blk0
Blk58, 0, 340.91909, Blk0
Blk58, 0, 384.24086, Blk0
Blk58, 0, 458.69311, Blk0
Blk58, 0, 536.07046, Blk0
Blk59, 7, 164.61417, Blk51
Blk59, 7, 228.25375, Blk51
Blk59, -1, 426.50215, NO_PARENT
Blk60, 4, 137.93523, Blk55
Blk60, 4, 177.50494, Blk55
Blk60, 4, 254.04583, Blk55
Blk60, -1, 329.33454, NO_PARENT
Blk61, 1, 343.07736, Blk58
Blk61, 1, 386.39913, Blk58
Blk61, 1, 460.85138, Blk58
Blk61, -1, 538.22873, NO_PARENT
Blk62, 3, 95.09564, Blk54
Blk63, 1, 643.12682, Blk28
Blk63, -1, 812.75704, NO_PARENT
Blk64, 4, 190.87393, Blk26
Blk64, 4, 308.64794, Blk26
Blk64, -1, 466.83650, NO_PARENT
Blk65, 5, 142.45412, Blk60
Blk65, 5, 182.02383, Blk60
Blk65, 5, 258.56472, Blk60
Blk65, -1, 333.85343, NO_PARENT
Blk66, 5, 192.31111, Blk64
Blk66, 5, 310.08513, Blk64
Blk66, -1, 468.27369, NO_PARENT
Blk67, 4, 272.56090, Blk43
Blk67, -1, 473.17209, NO_PARENT
Blk68, 3, 107.36943, Blk56
Blk68, 3, 225.14345, Blk56
Blk68, -1, 383.33201, NO_PARENT
Blk69, 2, 228.27892, Blk7
Blk70, 6, 144.19129, Blk65
Blk70, 6, 183.76100, Blk65
Blk70, 6, 260.30189, Blk65
Blk70, -1, 335.59060, NO_PARENT
Blk71, 1, 131.56282, Blk14
Blk71, 1, 163.57368, Blk14
Blk71, -1, 383.32076, NO_PARENT
Blk72, 0, 236.25790, Blk0
Blk72, 0, 319.79587, Blk0
Blk72, 0, 354.03191, Blk0
Blk72, 0, 471.62547, Blk0
Blk73, 5, 273.89989, Blk67
Blk73, -1, 474.51108, NO_PARENT
Blk74, 6, 274.10433, Blk73
Blk74, -1, 474.71553, NO_PARENT
Blk75, 0, 195.13210, Blk0
Blk75, 0, 219.08960, Blk0
Blk75, 0, 230.19776, Blk0
Blk75, 0, 417.33799, Blk0
Blk76, 4, 288.01234, Blk52
Blk76, 4, 364.55324, Blk52
Blk76, -1, 467.34755, NO_PARENT
Blk77, 8, 175.02878, Blk59
Blk77, 8, 238.66837, Blk59
Blk77, -1, 436.91676, NO_PARENT
Blk78, 1, 209.18287, Blk57
Blk78, 1, 284.05971, Blk57
Blk78, -1, 457.67934, NO_PARENT
Blk79, 4, 114.37390, Blk68
Blk79, 4, 232.14791, Blk68
Blk79, -1, 390.33647, NO_PARENT
Blk80, 5, 293.57650, Blk76
Blk80, 5, 370.11739, Blk76
Blk80, -1, 472.91171, NO_PARENT
Blk81, 6, 202.52824, Blk66
Blk81, 6, 320.30225, Blk66
Blk81, -1, 478.49081, NO_PARENT
Blk82, 2, 239.00508, Blk7
Blk82, -1, 388.83921, NO_PARENT
Blk83, 7, 156.74498, Blk70
Blk83, 7, 272.85558, Blk70
Blk83, -1, 348.14429, NO_PARENT
Blk84, 6, 299.30123, Blk80
Blk84, 6, 375.84212, Blk80
Blk84, -1, 478.63644, NO_PARENT
Blk85, 2, 152.95526, Blk29
Blk85, 2, 269.06585, Blk29
Blk85, -1, 344.35456, NO_PARENT
Blk86, 1, 249.60950, Blk72
Blk86, 1, 333.14747, Blk72
Blk86, 1, 367.38351, Blk72
Blk86, -1, 484.97707, NO_PARENT
Blk87, 3, 113.45257, Blk54
Blk87, -1, 283.08279, NO_PARENT
Blk88, 1, 240.49569, Blk5
Blk88, -1, 461.91748, NO_PARENT
Blk89, 2, 146.45870, Blk71
Blk89, 2, 178.46956, Blk71
Blk89, -1, 398.21664, NO_PARENT
Blk90, 7, 290.14659, Blk74
Blk90, -1, 490.75778, NO_PARENT
Blk91, 1, 211.34348, Blk75
Blk91, 1, 235.30097, Blk75
Blk91, -1, 433.54937, NO_PARENT
Blk92, 2, 251.38711, Blk35
Blk92, 2, 326.13486, Blk35
Blk92, -1, 446.13684, NO_PARENT
Blk93, 7, 212.95700, Blk81
Blk93, 7, 330.73101, Blk81
Blk93, -1, 488.91957, NO_PARENT
Blk94, 5, 128.19943, Blk79
Blk94, 5, 245.97345, Blk79
Blk94, -1, 404.16201, NO_PARENT
Blk95, 2, 256.77785, Blk86
Blk95, 2, 340.31582, Blk86
Blk95, 2, 374.55186, Blk86
Blk95, -1, 492.14542, NO_PARENT
Blk96, 1, 222.86060, Blk2
Blk96, -1, 262.43030, NO_PARENT
Blk97, 6, 131.27495, Blk94
Blk97, 6, 249.04897, Blk94
Blk97, -1, 407.23753, NO_PARENT
Blk98, 3, 260.83530, Blk95
Blk98, 3, 344.37327, Blk95
Blk98, 3, 378.60932, Blk95
Blk98, -1, 496.20287, NO_PARENT
Blk99, 2, 671.62364, Blk63
Blk99, -1, 841.25386, NO_PARENT
Blk100, 0, 183.00616, Blk0
Blk100, 0, 246.64575, Blk0
Blk100, 0, 257.75391, Blk0
Blk100, 0, 444.89414, Blk0

