Peer20
Blk0, -1, 0.00000, NO_PARENT
Blk1, 0, 389.48175, Blk0
Blk1, 0, 2164.90090, Blk0
Blk1, 0, 4249.23366, Blk0
Blk2, 0, 285.97742, Blk0
Blk2, 0, 2129.83586, Blk0
Blk2, 0, 4214.16862, Blk0
Blk3, 0, 487.24312, Blk0
Blk3, 0, 2077.36655, Blk0
Blk3, 0, 4256.13343, Blk0
Blk4, 0, 385.71947, Blk0
Blk4, 0, 2052.36572, Blk0
Blk4, 0, 4169.49950, Blk0
Blk5, 0, 464.82909, Blk0
Blk5, 0, 2116.58562, Blk0
Blk5, 0, 4233.71940, Blk0
Blk6, 0, 486.83817, Blk0
Blk6, 0, 2153.48442, Blk0
Blk6, 0, 4166.10868, Blk0
Blk7, 1, 396.36151, Blk1
Blk7, 1, 2171.78066, Blk1
Blk7, -1, 4256.11342, NO_PARENT
Blk8, 0, 451.58814, Blk0
Blk8, 0, 2132.30899, Blk0
Blk8, 0, 4238.49155, Blk0
Blk9, 0, 410.92335, Blk0
Blk9, 0, 2077.56961, Blk0
Blk9, 0, 4194.70339, Blk0
Blk10, 0, 415.50129, Blk0
Blk10, 0, 2005.62472, Blk0
Blk10, 0, 4184.39161, Blk0
Blk11, 0, 420.22083, Blk0
Blk11, 0, 2086.86708, Blk0
Blk11, 0, 4099.49134, Blk0
Blk12, 1, 492.30846, Blk6
Blk12, 1, 2158.95471, Blk6
Blk12, -1, 4171.57897, NO_PARENT
Blk13, 1, 498.57954, Blk3
Blk13, 1, 2088.70297, Blk3
Blk13, -1, 4267.46985, NO_PARENT
Blk14, 0, 414.11364, Blk0
Blk14, 0, 2080.75989, Blk0
Blk14, 0, 4197.89367, Blk0
Blk15, 0, 485.62963, Blk0
Blk15, 0, 2179.51014, Blk0
Blk15, 0, 4265.30044, Blk0
Blk16, 1, 466.35986, Blk8
Blk16, 1, 2147.08072, Blk8
Blk16, -1, 4253.26327, NO_PARENT
Blk17, 0, 133.56733, Blk0
Blk17, 0, 2128.03236, Blk0
Blk17, 0, 4245.16614, Blk0
Blk18, 2, 504.10068, Blk12
Blk18, 2, 2170.74693, Blk12
Blk18, -1, 4183.37119, NO_PARENT
Blk19, 2, 468.43045, Blk16
Blk19, 2, 2149.15130, Blk16
Blk19, -1, 4255.33386, NO_PARENT
Blk20, 0, 371.78983, Blk0
Blk20, 0, 2095.18719, Blk0
Blk20, 0, 4140.68014, Blk0
Blk21, 0, 368.63957, Blk0
Blk21, 0, 2095.64446, Blk0
Blk21, 0, 4179.97722, Blk0
Blk22, 1, 433.90290, Blk10
Blk22, 1, 2024.02632, Blk10
Blk22, -1, 4202.79321, NO_PARENT
Blk23, 2, 512.68541, Blk13
Blk23, 2, 2102.80884, Blk13
Blk23, -1, 4281.57573, NO_PARENT
Blk24, 0, 373.18299, Blk0
Blk24, 0, 2096.58035, Blk0
Blk24, 0, 4142.07330, Blk0
Blk25, 1, 374.92702, Blk20
Blk25, 1, 2098.32439, Blk20
Blk25, -1, 4143.81734, NO_PARENT
Blk26, 3, 508.61800, Blk18
Blk26, 3, 2175.26426, Blk18
Blk26, -1, 4187.88851, NO_PARENT
Blk27, 0, 423.12753, Blk0
Blk27, 0, 2089.77378, Blk0
Blk27, 0, 4102.39804, Blk0
Blk28, 0, 31.02248, Blk0
Blk29, 1, 372.27565, Blk21
Blk29, 1, 2099.28054, Blk21
Blk29, -1, 4183.61330, NO_PARENT
Blk30, 0, 443.62529, Blk0
Blk30, 0, 2167.02265, Blk0
Blk30, 0, 4212.51560, Blk0
Blk31, 0, 507.58497, Blk0
Blk31, 0, 2253.50304, Blk0
Blk31, 0, 4337.83580, Blk0
Blk32, 0, 442.54052, Blk0
Blk32, 0, 2188.45859, Blk0
Blk32, 0, 4272.79135, Blk0
Blk33, 0, 470.98872, Blk0
Blk33, 0, 2216.90680, Blk0
Blk33, 0, 4301.23956, Blk0
