id,chain_blocks,generated_blocks,is_fast,hash_power
1,0,0,1,0.0030150753768844224
2,0,0,0,0.0030150753768844224
3,0,0,0,0.0030150753768844224
4,0,0,0,0.0030150753768844224
5,0,2,1,0.0030150753768844224
6,0,0,1,0.0030150753768844224
7,0,2,0,0.0030150753768844224
8,0,1,0,0.0030150753768844224
9,0,1,1,0.0030150753768844224
10,0,2,1,0.030150753768844223
11,0,0,0,0.030150753768844223
12,0,2,1,0.030150753768844223
13,0,0,0,0.030150753768844223
14,0,0,1,0.030150753768844223
15,0,4,0,0.030150753768844223
16,0,0,0,0.030150753768844223
17,0,1,1,0.030150753768844223
18,0,1,0,0.030150753768844223
19,0,0,0,0.030150753768844223
20,0,0,0,0.030150753768844223
21,0,4,1,0.030150753768844223
22,0,0,0,0.030150753768844223
23,0,0,1,0.030150753768844223
24,0,1,1,0.030150753768844223
25,0,0,0,0.030150753768844223
26,0,1,0,0.030150753768844223
27,0,0,1,0.030150753768844223
28,0,1,1,0.030150753768844223
29,9,9,1,0.3
30,0,3,1,0.10000000000000005
