id,chain_blocks,generated_blocks,is_fast,hash_power
1,1,1,1,0.004566210045662101
2,2,6,1,0.004566210045662101
3,2,2,0,0.004566210045662101
4,0,1,0,0.004566210045662101
5,0,2,0,0.004566210045662101
6,0,1,0,0.004566210045662101
7,0,0,0,0.004566210045662101
8,2,6,1,0.004566210045662101
9,0,3,1,0.004566210045662101
10,0,0,1,0.04566210045662101
11,0,0,0,0.04566210045662101
12,0,1,0,0.04566210045662101
13,1,1,1,0.04566210045662101
14,0,1,1,0.04566210045662101
15,0,1,0,0.04566210045662101
16,3,4,1,0.04566210045662101
17,3,5,0,0.04566210045662101
18,2,4,0,0.04566210045662101
19,0,2,0,0.04566210045662101
20,0,1,1,0.04566210045662101
21,0,7,1,0.04566210045662101
22,0,1,1,0.04566210045662101
23,3,5,1,0.04566210045662101
24,4,6,0,0.04566210045662101
25,0,1,1,0.04566210045662101
26,1,2,0,0.04566210045662101
27,0,4,0,0.04566210045662101
28,0,0,0,0.04566210045662101
29,0,3,1,0.04566210045662101
30,2,2,1,0.04566210045662101
