id,chain_blocks,generated_blocks,is_fast,hash_power
1,1,1,0,0.009183673469387756
2,0,0,0,0.009183673469387756
3,0,0,1,0.009183673469387756
4,1,1,1,0.009183673469387756
5,1,1,1,0.009183673469387756
6,2,2,1,0.009183673469387756
7,1,1,1,0.009183673469387756
8,1,1,0,0.009183673469387756
9,1,1,0,0.009183673469387756
10,1,1,0,0.009183673469387756
11,3,3,1,0.009183673469387756
12,0,0,1,0.009183673469387756
13,0,0,0,0.009183673469387756
14,1,1,1,0.009183673469387756
15,1,1,0,0.009183673469387756
16,1,1,1,0.009183673469387756
17,0,0,0,0.009183673469387756
18,0,0,1,0.009183673469387756
19,0,0,0,0.009183673469387756
20,0,0,0,0.009183673469387756
21,0,0,1,0.009183673469387756
22,0,0,1,0.009183673469387756
23,1,1,1,0.009183673469387756
24,2,2,0,0.009183673469387756
25,0,0,0,0.009183673469387756
26,0,0,0,0.009183673469387756
27,0,0,1,0.009183673469387756
28,1,1,1,0.009183673469387756
29,0,0,0,0.009183673469387756
30,1,1,0,0.009183673469387756
31,1,1,1,0.009183673469387756
32,0,0,1,0.009183673469387756
33,1,1,0,0.009183673469387756
34,1,1,1,0.009183673469387756
35,1,1,0,0.009183673469387756
36,1,1,0,0.009183673469387756
37,1,1,0,0.009183673469387756
38,1,1,0,0.009183673469387756
39,2,2,0,0.009183673469387756
40,0,0,1,0.009183673469387756
41,1,1,1,0.009183673469387756
42,0,0,0,0.009183673469387756
43,1,1,0,0.009183673469387756
44,1,2,1,0.009183673469387756
45,1,1,1,0.009183673469387756
46,2,2,0,0.009183673469387756
47,1,1,0,0.009183673469387756
48,2,2,1,0.009183673469387756
49,2,2,1,0.009183673469387756
50,2,2,0,0.009183673469387756
51,1,1,1,0.009183673469387756
52,1,2,0,0.009183673469387756
53,2,2,0,0.009183673469387756
54,2,2,0,0.009183673469387756
55,0,0,0,0.009183673469387756
56,0,0,0,0.009183673469387756
57,2,3,1,0.009183673469387756
58,1,1,0,0.009183673469387756
59,2,2,1,0.009183673469387756
60,0,0,0,0.009183673469387756
61,0,0,1,0.009183673469387756
62,0,1,0,0.009183673469387756
63,0,0,0,0.009183673469387756
64,0,0,1,0.009183673469387756
65,2,2,1,0.009183673469387756
66,1,1,1,0.009183673469387756
67,0,0,1,0.009183673469387756
68,1,1,0,0.009183673469387756
69,4,4,1,0.009183673469387756
70,0,0,0,0.009183673469387756
71,1,2,1,0.009183673469387756
72,0,0,0,0.009183673469387756
73,1,1,1,0.009183673469387756
74,1,1,0,0.009183673469387756
75,0,0,1,0.009183673469387756
76,1,2,1,0.009183673469387756
77,2,3,0,0.009183673469387756
78,1,1,0,0.009183673469387756
79,1,1,0,0.009183673469387756
80,0,0,0,0.009183673469387756
81,2,2,0,0.009183673469387756
82,2,2,0,0.009183673469387756
83,1,1,1,0.009183673469387756
84,0,1,1,0.009183673469387756
85,1,1,1,0.009183673469387756
86,0,0,1,0.009183673469387756
87,0,1,1,0.009183673469387756
88,0,0,0,0.009183673469387756
89,1,1,0,0.009183673469387756
90,1,1,0,0.009183673469387756
91,0,0,1,0.009183673469387756
92,1,1,1,0.009183673469387756
93,0,0,1,0.009183673469387756
94,0,0,0,0.009183673469387756
95,0,0,1,0.009183673469387756
96,0,0,1,0.009183673469387756
97,2,2,0,0.009183673469387756
98,0,0,1,0.009183673469387756
99,8,17,1,0.1
100,0,0,1,0.0
