id,chain_blocks,generated_blocks,is_fast,hash_power
1,0,0,1,0.136986301369863
2,0,0,1,0.136986301369863
3,0,1,1,0.136986301369863
4,0,0,1,0.136986301369863
5,0,0,1,0.136986301369863
6,0,2,1,0.136986301369863
7,0,1,1,0.136986301369863
8,0,1,1,0.136986301369863
9,0,1,1,0.136986301369863
10,0,1,1,0.136986301369863
11,0,0,1,0.136986301369863
12,0,0,1,0.136986301369863
13,0,8,1,0.136986301369863
14,0,10,1,0.136986301369863
15,0,6,1,0.136986301369863
16,0,7,1,0.136986301369863
17,0,12,1,0.136986301369863
18,0,12,1,0.136986301369863
19,0,6,1,0.136986301369863
20,0,8,1,0.136986301369863
21,0,4,1,0.136986301369863
22,0,8,1,0.136986301369863
23,0,4,1,0.136986301369863
24,0,8,1,0.136986301369863
25,0,6,1,0.136986301369863
26,0,5,1,0.136986301369863
27,0,4,1,0.136986301369863
28,0,3,1,0.136986301369863
29,0,3,1,0.136986301369863
30,0,10,1,0.136986301369863
31,0,6,1,0.136986301369863
32,0,10,1,0.136986301369863
33,0,5,1,0.136986301369863
34,0,7,1,0.136986301369863
35,0,6,1,0.136986301369863
36,0,10,1,0.136986301369863
37,0,5,1,0.136986301369863
38,0,6,1,0.136986301369863
39,0,9,1,0.136986301369863
40,0,2,1,0.136986301369863
