id,chain_blocks,generated_blocks,is_fast,hash_power
1,0,0,1,1.6194331983805663
2,0,0,1,1.6194331983805663
3,0,0,1,1.6194331983805663
4,0,0,1,1.6194331983805663
5,0,0,1,1.6194331983805663
6,0,0,1,1.6194331983805663
7,0,0,1,1.6194331983805663
8,0,0,1,1.6194331983805663
9,0,0,1,1.6194331983805663
10,0,0,1,1.6194331983805663
11,0,0,1,1.6194331983805663
12,0,0,1,1.6194331983805663
13,0,0,1,1.6194331983805663
14,0,0,1,1.6194331983805663
15,0,0,1,1.6194331983805663
16,0,0,1,1.6194331983805663
17,0,0,1,1.6194331983805663
18,0,0,1,1.6194331983805663
19,0,0,1,1.6194331983805663
20,0,0,1,1.6194331983805663
21,0,0,1,1.6194331983805663
22,0,0,1,1.6194331983805663
23,0,0,1,1.6194331983805663
24,0,0,1,1.6194331983805663
25,0,0,1,1.6194331983805663
26,0,0,1,1.6194331983805663
27,0,0,1,1.6194331983805663
28,0,0,1,1.6194331983805663
29,0,0,1,1.6194331983805663
30,0,2,1,1.6194331983805663
31,0,0,1,1.6194331983805663
32,0,0,1,1.6194331983805663
33,0,0,1,1.6194331983805663
34,0,0,1,1.6194331983805663
35,0,0,1,1.6194331983805663
36,0,0,1,1.6194331983805663
37,0,0,1,1.6194331983805663
38,0,0,1,1.6194331983805663
39,0,0,1,1.6194331983805663
40,0,0,1,1.6194331983805663
